ID,PREFERREDLABEL_EN,PREFERREDLABEL_SW,PREFERREDLABEL_BACK_EN,DESCRIPTION_EN,DESCRIPTION_SW,DESCRIPTION_BACK_EN
687671c1ebd2bf665349e760,miller,msagaji,miller,Millers tend mills to grind cereal crops to obtain flour. They regulate the flow of materials that go into mills and adjust the grind to a specified fineness. They ensure basic maintenance and cleaning of equipments. They evaluate sample of product to verify fineness of grind.,Wasagaji huendesha vinu ili kusaga mazao ya nafaka ili kupata unga. Wanadhibiti mtiririko wa vifaa vinavyoingia kwenye vinu na kurekebisha usagaji kwa ulaini maalum. Wanahakikisha matengenezo ya kimsingi na usafishaji wa vifaa. Wanatathmini sampuli ya bidhaa ili kuhakiki ulaini wa usagaji.,Millers operate mills to grind grain products to obtain flour. They control the flow of materials entering the mills and adjust the grinding for specific fineness. They ensure basic maintenance and cleaning of equipment. They evaluate product samples to verify the fineness of the grind.
687671c1ebd2bf665349e846,"tending furnace, boiler, fireplace for heating and water supply","Mhudumu wa tanuru, boila, na kiko kwa ajili ya upashaji joto na usambazaji wa maji","Furnace, boiler, and kiln attendant for heating and water supply","Refers to activities related to tending furnace, boiler, fireplace for heating and water supply.

Examples:
- Checked the boiler
- Heated up sauna
- Lit the boiler
- Prepared the heating material
- Warmed water for bath
- Went down into the cellar and put firewood in the boiler","Inahusu shughuli zinazohusiana na kuhudumia tanuru, boila, na kiko kwa ajili ya upashaji joto na usambazaji wa maji.","Refers to activities related to attending to furnaces, boilers, and kilns for heating and water supply."
687671c1ebd2bf665349e546,coquille casting worker,mfanyakazi wa kumimina chuma kwenye kalibu ya chuma (coquille),metal pourer into a metal mold (coquille),"Coquille casting workers manufacture castings, including pipes, tubes, hollow profiles and other products of the first processing of steel, by operating hand-controlled equipment in a foundry. They conduct the flow of molten ferrous and non-ferrous metals into coquilles, taking care to create the exact right circumstances to obtain the highest quality metal. They observe the flow of metal to identify faults. In case of a fault, they notify the authorised personnel and participate in the removal of the fault.","Wafanyakazi wa kumimina chuma kwenye kalibu ya chuma (coquille) hutengeneza bidhaa za chuma zilizomiminwa, ikiwa ni pamoja na mabomba, tyubu, wasifu wenye uwazi na bidhaa nyingine za usindikaji wa kwanza wa chuma, kwa kuendesha vifaa vinavyodhibitiwa kwa mkono katika kiwanda cha kuyeyusha chuma. Wanaongoza mtiririko wa metali za ferasi na zisizo za ferasi zilizoyeyushwa kwenye kalibu za chuma (coquilles), wakizingatia kuweka mazingira sahihi kabisa ili kupata chuma cha ubora wa juu zaidi. Wanatazama mtiririko wa chuma ili kutambua hitilafu. Ikitokea hitilafu, hutoa taarifa kwa wafanyakazi walioidhinishwa na kushiriki katika kuondoa hitilafu hiyo.","Workers who pour metal into metal molds (coquilles) produce cast metal products, including pipes, tubes, hollow profiles, and other primary metal processing products, by operating manually controlled equipment in a metal foundry. They guide the flow of molten ferrous and non-ferrous metals into metal molds (coquilles), ensuring the maintenance of precise conditions to obtain the highest quality metal. They monitor the metal flow to identify defects. If a defect occurs, they report it to authorized personnel and participate in resolving the defect."
687671c0ebd2bf665349dde1,contact centre manager,meneja wa kituo cha mawasiliano,contact center manager,"Contact centre managers coordinate and plan the daily operations of contact centres. They ensure that customer inquiries are satisfied efficiently and according to policies. They manage employees, resources and procedures to improve best practices and achieve high levels of customer satisfaction.","Wameneja wa vituo vya mawasiliano huratibu na kupanga shughuli za kila siku za vituo vya mawasiliano. Wanahakikisha kuwa maswali ya wateja yanajibiwa kwa ufanisi na kulingana na sera. Wanasimamia wafanyakazi, rasilimali na taratibu ili kuboresha mbinu bora na kufikia viwango vya juu vya kuridhika kwa wateja.","Contact center managers coordinate and plan the daily operations of contact centers. They ensure that customer inquiries are answered efficiently and in accordance with policies. They manage staff, resources, and procedures to improve best practices and achieve high levels of customer satisfaction."
687671c1ebd2bf665349e5e1,carpet weaver,msukaji wa mazulia,carpet weaver,"Carpet weavers operate machinery to create textile floor coverings. They create carpets and rugs from wool or synthetic textiles using specialised equipment. Carpet weavers can use diverse methods such as weaving, knotting or tufting to create carpets of different styles.","Wasukaji wa mazulia huendesha mitambo ili kuunda vifuniko vya sakafu vya nguo. Wanatengeneza mazulia na mikeka kutoka kwa sufu au nguo za sintetiki kwa kutumia vifaa maalum. Wasukaji wa mazulia wanaweza kutumia mbinu mbalimbali kama vile kusuka, kufunga mafundo au kuweka vishada ili kuunda mazulia ya mitindo tofauti.","Carpet weavers operate machines to create textile floor coverings. They produce carpets and rugs from wool or synthetic fabrics using specialized equipment. Carpet weavers can use various techniques such as weaving, knotting, or tufting to create carpets of different styles."
687671c1ebd2bf665349e35b,lifeguard instructor,mkufunzi wa walinzi wa maisha,lifeguard instructor,"Lifeguard instructors teach future (professional) lifeguards the necessary programmes and methods needed to become a licensed lifeguard. They provide training on safety supervision of all swimmers, assessment of potentially hazardous situations, rescue-specific swimming and diving techniques, first aid treatment for swimming-related injuries, and they inform students on preventative lifeguard responsibilities. They ensure students are aware of the importance of checking safe water quality, heeding risk management and being aware of the necessary protocols and regulations regarding lifeguarding and rescuing. They monitor the students' progress, evaluate them through theoretical and practical tests and award the lifeguard licenses when obtained.","Wakufunzi wa walinzi wa maisha huwafundisha walinzi wa maisha wa baadaye (wataalamu) programu na mbinu muhimu zinazohitajika ili kuwa mlinzi wa maisha aliyeidhinishwa. Wanatoa mafunzo juu ya usimamizi wa usalama wa waogeleaji wote, tathmini ya hali zinazoweza kuwa hatari, mbinu maalum za uokoaji za kuogelea na kupiga mbizi, matibabu ya huduma ya kwanza kwa majeraha yanayohusiana na kuogelea, na huwafahamisha wanafunzi kuhusu majukumu ya kuzuia ya walinzi wa maisha. Wanahakikisha wanafunzi wanafahamu umuhimu wa kuangalia ubora wa maji salama, kuzingatia usimamizi wa hatari na kufahamu itifaki na kanuni muhimu kuhusu ulinzi wa maisha na uokoaji. Wanafuatilia maendeleo ya wanafunzi, wanawafanyia tathmini kupitia majaribio ya kinadharia na ya vitendo na kutoa leseni za ulinzi wa maisha zinapopatikana.","Lifeguard instructors teach prospective lifeguards (professionals) the essential programs and techniques required to become a certified lifeguard. They provide training on the safety management of all swimmers, assessment of potentially dangerous situations, specific swimming and diving rescue techniques, first aid treatment for swimming-related injuries, and inform students about the preventative duties of lifeguards. They ensure students understand the importance of checking for safe water quality, adhering to risk management, and comprehending key protocols and regulations regarding lifeguarding and rescue. They monitor student progress, evaluate them through theoretical and practical tests, and issue lifeguard licenses when available."
687671c0ebd2bf665349dce1,footwear product development manager,meneja wa maendeleo ya bidhaa za viatu,footwear product development manager,"Footwear product development managers coordinate the footwear design and the product and collection development process in order to comply with design specifications, deadlines, strategic requirements and policies of the company. They track style development and review design specifications in order to meet the design vision, the manufacturing environment, and the company’s financial goals.","Mameneja wa maendeleo ya bidhaa za viatu wanaratibu muundo wa viatu na mchakato wa maendeleo ya bidhaa na mkusanyiko ili kuzingatia vipimo vya muundo, tarehe za mwisho, mahitaji ya kimkakati na sera za kampuni. Wanafuatilia maendeleo ya mtindo na kupitia vipimo vya muundo ili kufikia maono ya muundo, mazingira ya utengenezaji, na malengo ya kifedha ya kampuni.","Footwear product development managers coordinate footwear design and the product development and collection process to adhere to design specifications, deadlines, strategic requirements, and company policies. They monitor fashion trends and review design specifications to achieve the company's design vision, manufacturing environment, and financial goals."
687671c0ebd2bf665349dcd9,communication manager,meneja wa mawasiliano,communications manager,"Communication managers are responsible for developing communication strategies in order to promote the organization's mission, services or product. They coordinate communication projects and manage the communications issued by the company for both the internal and the external clients. They supervise internal communications, ensuring that communications reach each one of the employees and further questions can be answered. For external communications, they coordinate coherence among the messages transmitted in mails, printed materials, press articles, and corporate promotional materials. They strive to maintain truthful communications.","Mameneja wa mawasiliano wanawajibika kwa kuandaa mikakati ya mawasiliano ili kukuza dhamira, huduma au bidhaa ya shirika. Wanaratibu miradi ya mawasiliano na kusimamia mawasiliano yanayotolewa na kampuni kwa wateja wa ndani na nje. Wanasimamia mawasiliano ya ndani, wakihakikisha kuwa mawasiliano yanamfikia kila mmoja wa wafanyakazi na maswali zaidi yanaweza kujibiwa. Kwa mawasiliano ya nje, wanaratibu uwiano kati ya ujumbe unaotumwa katika barua, vifaa vilivyochapishwa, makala za vyombo vya habari, na vifaa vya kukuza shirika. Wanajitahidi kudumisha mawasiliano ya kweli.","Communications managers are responsible for preparing communication strategies to promote an organization's mission, services, or products. They coordinate communication projects and manage communications issued by the company to internal and external clients. They manage internal communications, ensuring that communications reach every employee and further questions can be answered. For external communications, they coordinate consistency between messages sent in letters, printed materials, media articles, and organizational promotional materials. They strive to maintain truthful communication."
687671c0ebd2bf665349ddfc,hydrogeologist,mwanahajidro-jiolojia,hydrogeologist,"Hydrogeologists in mining study the distribution, quality and flow of water in order to keep mine workings free of nuisance water and to ensure an adequate supply of process water. They supply and evaluate information which will protect ground and surface water from contamination.","Wanahajidro-jiolojia katika uchimbaji madini huchunguza usambazaji, ubora na mtiririko wa maji ili kuweka maeneo ya kazi ya migodini bila maji yanayosumbua na kuhakikisha usambazaji wa kutosha wa maji ya mchakato. Wanatoa na kutathmini taarifa ambazo zitalinda maji ya chini ya ardhi na ya juu dhidi ya uchafuzi.","Hydrogeologists in mining investigate the distribution, quality, and flow of water to keep mine work areas free from problematic water and ensure an adequate supply of process water. They provide and evaluate information that will protect groundwater and surface water from contamination."
687671c1ebd2bf665349dfb1,admissions coordinator,mratibu wa udahili,admissions coordinator,"Admissions coordinators are in charge of the students' applications and admissions to a (private) school, college or university. They assess possible future students' qualifications and subsequently approve or deny their application, based on the regulations and desires set by the board of directors and the school administration. They also assist the accepted students in their enrollment in the programme and courses of their choice.","Waratibu wa udahili wanasimamia maombi na udahili wa wanafunzi katika shule (ya binafsi), chuo au chuo kikuu. Wanatathmini sifa za wanafunzi watarajiwa na baadaye kuidhinisha au kukataa maombi yao, kulingana na kanuni na matakwa yaliyowekwa na bodi ya wakurugenzi na uongozi wa shule. Pia huwasaidia wanafunzi waliokubaliwa katika kujiandikisha kwenye programu na kozi wanazochagua.","Admissions coordinators manage student applications and admissions at a (private) school, college, or university. They evaluate the qualifications of prospective students and subsequently approve or reject their applications, according to the rules and requirements set by the board of directors and school administration. They also assist admitted students in enrolling in their chosen programs and courses."
687671c1ebd2bf665349e053,user interface developer,mwendelezaji wa kiolesura cha mtumiaji,user interface developer,"User interface developers implement, code, document and maintain the interface of a software system by using front-end development technologies.","Waendelezaji wa kiolesura cha mtumiaji hutekeleza, kuandika msimbo, kuandika nyaraka na kudumisha kiolesura cha mfumo wa programu kwa kutumia teknolojia za uendelezaji wa upande wa mbele.","User interface developers implement, code, document, and maintain the interface of a software system using front-end development technologies."
687671c1ebd2bf665349e4b1,rental service representative in office machinery and equipment,mwakilishi wa huduma za ukodishaji wa mashine na vifaa vya ofisi,office machinery and equipment rental services representative,"Rental service representatives in office machinery and equipment are in charge of renting out equipment and determining specific periods of usage. They document transactions, insurances and payments.","Wawakilishi wa huduma za ukodishaji wa mashine na vifaa vya ofisi wanahusika na kukodisha vifaa na kuamua vipindi maalum vya matumizi. Wanaandika miamala, bima na malipo.","Office machinery and equipment rental services representatives are involved in renting out equipment and determining specific periods of use. They record transactions, insurance, and payments."
687671c1ebd2bf665349e601,electric meter technician,mtaalamu wa mita za umeme,electricity meter specialist,Electric meter technicians install and maintain electric meter systems in facilities or buildings. They install the equipment in accordance with regulations and repair faults and other problems. They test the equipment and advise on the use and care.,Wataalamu wa mita za umeme huweka na kudumisha mifumo ya mita za umeme katika vituo au majengo. Wanaweka vifaa kulingana na kanuni na kukarabati hitilafu na matatizo mengine. Wanajaribu vifaa na kutoa ushauri kuhusu matumizi na utunzaji.,Electricity meter specialists install and maintain electricity meter systems in stations or buildings. They install equipment according to regulations and repair faults and other problems. They test equipment and provide advice on use and maintenance.
687671c0ebd2bf665349dcf8,footwear quality manager,meneja wa ubora wa viatu,footwear quality manager,"Footwear quality managers implement, manage and promote the quality systems in the company, using adequate tools and methodologies based on national, international or company standards. They are in charge of establishing requirements and objectives, as well as preparing documents. They analyse complaints, and promote and coordinate corrective and preventive measures. They promote an effective internal and external communication and ensure the consumer's demands are met. They are responsible for the definition of instruments which monitor and control the quality systems, namely internal or external auditing, and they participate in the internal auditing.","Meneja wa ubora wa viatu hutekeleza, kusimamia na kuendeleza mifumo ya ubora katika kampuni, kwa kutumia zana na mbinu za kutosha kulingana na viwango vya kitaifa, kimataifa au vya kampuni. Anahusika na kuweka mahitaji na malengo, pamoja na kuandaa nyaraka. Huchambua malalamiko, na kuendeleza na kuratibu hatua za kurekebisha na kuzuia. Huendeleza mawasiliano madhubuti ya ndani na nje na kuhakikisha mahitaji ya mlaji yanatimizwa. Anahusika na ufafanuzi wa vyombo vinavyofuatilia na kudhibiti mifumo ya ubora, yaani ukaguzi wa ndani au wa nje, na hushiriki katika ukaguzi wa ndani.","Footwear quality managers implement, manage, and develop quality systems in a company, using appropriate tools and methods according to national, international, or company standards. They are responsible for setting requirements and objectives, as well as preparing documentation. They analyze complaints, and develop and coordinate corrective and preventive actions. They develop effective internal and external communication and ensure customer requirements are met. They are responsible for defining the instruments that monitor and control quality systems, i.e., internal or external audits, and participate in internal audits."
687671c1ebd2bf665349e596,tyre fitter,mfungaji wa matairi,tire fitter,"Tyre fitters inspect, maintain, repair and fit tyres to vehicles. They advise clients on different tyre and wheel types. Furthermore they balance the tyres, verify that the wheels are aligned correctly and ensure compliance with safety standards and regulations.","Wafungaji wa matairi hukagua, kudumisha, kukarabati na kufunga matairi kwenye magari. Wanawashauri wateja kuhusu aina tofauti za matairi na magurudumu. Aidha, wanasawazisha matairi, wanahakikisha kuwa magurudumu yamepangiliwa kwa usahihi na kuhakikisha uzingatiaji wa viwango na kanuni za usalama.","Tire fitters inspect, maintain, repair, and install tires on vehicles. They advise customers on different types of tires and wheels. Additionally, they balance tires, ensure wheels are correctly aligned, and ensure compliance with safety standards and regulations."
687671c1ebd2bf665349dfc9,corporate risk manager,meneja wa hatari za shirika,corporate risk manager,"Corporate risk managers identify and assess potential threats and opportunities to a company, and give advice on how to deal with them. They create preventive plans to avoid and reduce risks, and put plans in place for when the company is threatened. They coordinate risk management aspects across the different functions of an organisation and are responsible for technical activities such as risk assessment, risk mapping and insurance purchase. They report on risk issues to the senior management and the company's board.","Mameneja wa hatari za shirika hutambua na kutathmini vitisho na fursa zinazoweza kutokea kwa kampuni, na kutoa ushauri wa jinsi ya kukabiliana nazo. Wanaunda mipango ya kuzuia ili kuepuka na kupunguza hatari, na kuweka mipango wakati kampuni inatishiwa. Wanaratibu vipengele vya usimamizi wa hatari katika kazi mbalimbali za shirika na wanawajibika kwa shughuli za kiufundi kama vile tathmini ya hatari, ramani ya hatari na ununuzi wa bima. Wanatoa ripoti kuhusu masuala ya hatari kwa usimamizi mkuu na bodi ya kampuni.","Corporate risk managers identify and assess potential threats and opportunities for a company, and provide advice on how to deal with them. They create prevention plans to avoid and mitigate risks, and establish plans when the company is threatened. They coordinate risk management aspects across various organizational functions and are responsible for technical activities such as risk assessment, risk mapping, and insurance procurement. They report on risk issues to senior management and the company board."
687671c1ebd2bf665349e7f2,aircraft groomer,msafishaji wa ndege,aircraft cleaner,"Aircraft groomers clean aircraft cabins and airplanes after usage. They vacuum or sweep the interior of cabin, brush debris from seats, and arrange seat belts. They clean trash and debris from seat pockets and arranged in-flight magazines, safety cards, and sickness bags. They also clean galleys and lavatories.","Wasafishaji wa ndege husafisha vyumba vya ndege na eropleni baada ya matumizi. Wananyonya vumbi au kufagia mambo ya ndani ya kabati, kupiga brashi uchafu kutoka kwenye viti, na kupanga mikanda ya usalama. Wanasafisha takataka na uchafu kutoka kwenye mifuko ya viti na kupanga majarida ya ndani ya ndege, kadi za usalama, na mifuko ya kichefuchefu. Pia wanasafisha jikoni na vyoo.","Aircraft cleaners clean aircraft cabins and airplanes after use. They vacuum or sweep the interior of the cabin, brush debris from seats, and arrange seat belts. They clean trash and debris from seat pockets and arrange in-flight magazines, safety cards, and airsickness bags. They also clean galleys and lavatories."
687671c1ebd2bf665349e6f2,plastic rolling machine operator,opereta wa mashine ya kukunja plastiki,plastic folding machine operator,"Plastic rolling machine operators operate and monitor machines to produce plastic rolls, or to flatten and reduce the material. They examine raw materials and finished products to make sure they are according to specifications.","Waendeshaji wa mashine ya kukunja plastiki huendesha na kufuatilia mashine za kuzalisha maroli ya plastiki, au kusawazisha na kupunguza nyenzo. Wanachunguza malighafi na bidhaa zilizokamilika ili kuhakikisha kuwa ziko kulingana na maelezo.","Plastic folding machine operators operate and monitor machines that produce plastic rolls, or straighten and reduce materials. They inspect raw materials and finished products to ensure they conform to specifications."
