"elmis_title","amharic","sector","sub_sector","professional_formal","subsector_isco4","candidate_pool_size","n_from_nel","n_from_isco_group","stage1_best_score","original_decision","retry_decision","retry_selected_index","retry_selected_label","retry_selected_uri","retry_selected_isco4","retry_pick_source","retry_confidence","retry_rationale","llm_provider","llm_model","raw_response"
"Junior Telemarketing","ጁኒየር ቴሌማርኬቲንግ","Service","Advertising","U","2431","25","5","20","0.7456","no_match","no_match","","","","","","high","None of the candidate occupations describe the specific role of telemarketing (making sales calls); the list consists of higher-level marketing professionals, analysts, or specialized roles like network marketing.","gemini","gemini-3-flash-preview","{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""None of the candidate occupations describe the specific role of telemarketing (making sales calls); the list consists of higher-level marketing professionals, analysts, or specialized roles like network marketing.""}"
"Junor Carpentry","ጁንየር አናጢነት","Construction","Carpenter, builder, and other similar construction works","U","7111","6","5","1","0.7328","no_match","no_match","","","","","","high","None of the candidates describe carpentry; the only construction candidate (house builder) is a multi-skilled generalist rather than a specialized carpenter.","gemini","gemini-3-flash-preview","{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""None of the candidates describe carpentry; the only construction candidate (house builder) is a multi-skilled generalist rather than a specialized carpenter.""}"
"Keyboard and guitar trainer","የቁልፍ ሰሌዳ እና ጊታር አሰልጣኝ","Tourism and art","Culture and Arts Education","U","2355","11","5","6","0.8257","no_match","no_match","","","","","","high","None of the candidates represent music instruction; they are either instrument makers, technicians, or teachers of unrelated arts like dance, drama, and photography.","gemini","gemini-3-flash-preview","{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""None of the candidates represent music instruction; they are either instrument makers, technicians, or teachers of unrelated arts like dance, drama, and photography.""}"
"L & D Specialist","L & D ስፔሻሊስት","Service","Other not-mentioned educational services (private tutoring, etc.)","P","2359","19","5","14","0.7962","no_match","match","7","instructional designer","http://data.europa.eu/esco/occupation/a9c30651-ccbc-4a80-900c-7880615cdf6e","2359","isco_group","medium","L & D (Learning and Development) Specialists are primarily responsible for the design and development of training programs and materials, which is the core function of an instructional designer.","gemini","gemini-3-flash-preview","{""decision"": ""match"", ""selected_index"": 7, ""confidence"": ""medium"", ""rationale"": ""L & D (Learning and Development) Specialists are primarily responsible for the design and development of training programs and materials, which is the core function of an instructional designer.""}"
"Layout design","የአቀማመጥ ንድፍ","Manufacturing","Manufacture of home and office furniture","P","7522","11","5","6","0.7368","no_match","no_match","","","","","","high","None of the candidates match a professional layout design role in furniture manufacturing; they are either in unrelated domains or are manual craft occupations.","gemini","gemini-3-flash-preview","{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""None of the candidates match a professional layout design role in furniture manufacturing; they are either in unrelated domains or are manual craft occupations.""}"
"Lead Coder","መሪ ኮደር","ICT and digital work","Software Design Development and Implementation Works","P","2512","11","5","6","0.796","no_match","match","9","software developer","http://data.europa.eu/esco/occupation/f2b15a0e-e65a-438a-affb-29b9d50b77d1","2512","isco_group","high","A Lead Coder is a senior professional in the ICT sector responsible for software programming, which is best represented by the ESCO occupation Software Developer.","gemini","gemini-3-flash-preview","{""decision"": ""match"", ""selected_index"": 9, ""confidence"": ""high"", ""rationale"": ""A Lead Coder is a senior professional in the ICT sector responsible for software programming, which is best represented by the ESCO occupation Software Developer.""}"
"Lead Compliance Management","የእርሳስ ተገዢነት አስተዳደር","Service","Quality Management Consulting Service","P","2421","11","5","6","0.7412","no_match","no_match","","","","","","high","None of the candidates adequately capture the specific role of Compliance Management at a professional level; the compliance-related titles provided are limited to specific engineering or technical fields (pipeline, systems engineering), while the management/consulting titles are too generic or focused on unrelated areas like logistics or corporate social responsibility.","gemini","gemini-3-flash-preview","{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""None of the candidates adequately capture the specific role of Compliance Management at a professional level; the compliance-related titles provided are limited to specific engineering or technical fields (pipeline, systems engineering), while the management/consulting titles are too generic or focused on unrelated areas like logistics or corporate social responsibility.""}"
"Learning Management Solution Development","የመማር አስተዳደር መፍትሔ ልማት","ICT and digital work","Software Design Development and Implementation Works","P","2512","10","4","6","0.7657","no_match","match","8","software developer","http://data.europa.eu/esco/occupation/f2b15a0e-e65a-438a-affb-29b9d50b77d1","2512","isco_group","high","The ELMIS title describes a professional role in software development within the ICT sector, which directly corresponds to the ESCO software developer occupation.","gemini","gemini-3-flash-preview","{""decision"": ""match"", ""selected_index"": 8, ""confidence"": ""high"", ""rationale"": ""The ELMIS title describes a professional role in software development within the ICT sector, which directly corresponds to the ESCO software developer occupation.""}"
"Learning Management System (LMS) Specialist","የመማሪያ አስተዳደር ስርዓት ስፔሻሊስት","ICT and digital work","Software Design Development and Implementation Works","P","2512","11","5","6","0.7958","no_match","match","7","software analyst","http://data.europa.eu/esco/occupation/04ba4d6c-957d-417f-bf63-5b9e015a9f86","2512","isco_group","low","The ELMIS title describes a professional-level role in ICT software implementation; Software Analyst (7) is the most appropriate professional (Class P) fit within the specified Software Design sub-sector.","gemini","gemini-3-flash-preview","{""decision"": ""match"", ""selected_index"": 7, ""confidence"": ""low"", ""rationale"": ""The ELMIS title describes a professional-level role in ICT software implementation; Software Analyst (7) is the most appropriate professional (Class P) fit within the specified Software Design sub-sector.""}"
"LEARNING, DESIGN AND MEASURMENT (LDM) MANAGER","የመማር፣ የንድፍ እና የመለኪያ አስተዳዳሪ","Service","Other not-mentioned educational services (private tutoring, etc.)","P","2359","19","5","14","0.7683","no_match","no_match","","","","","","high","The ELMIS title describes a managerial role focused on the specific combination of instructional design and learning outcome measurement (evaluation/M&E), which is not captured by the provided teaching, product management, or technical candidates.","gemini","gemini-3-flash-preview","{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""The ELMIS title describes a managerial role focused on the specific combination of instructional design and learning outcome measurement (evaluation/M&E), which is not captured by the provided teaching, product management, or technical candidates.""}"
"Led light installer","የ LED መብራት ጫኝ","Construction","Electrical Works Contractor","P","7411","12","5","7","0.7616","no_match","match","7","building electrician","http://data.europa.eu/esco/occupation/33960bab-4423-4808-af6c-ec2b485dba41","7411","isco_group","high","Installing LED lighting in a construction context is a standard task for a building electrician who installs electrical infrastructure and fixtures.","gemini","gemini-3-flash-preview","{""decision"": ""match"", ""selected_index"": 7, ""confidence"": ""high"", ""rationale"": ""Installing LED lighting in a construction context is a standard task for a building electrician who installs electrical infrastructure and fixtures.""}"
"LinkedIn Account Manager and Storyteller","የLinkedIn መለያ አስተዳዳሪ እና ታሪክ ጸሐፊ","Service","Advertising","I","2431","24","5","19","0.708","no_match","match","11","online marketer","http://data.europa.eu/esco/occupation/356227b9-2263-4dbd-81e9-7dfc6d3f3af7","2431","isco_group","high","The role involves managing a social media presence (LinkedIn) and creating brand narratives (storytelling), which is accurately described by the 'online marketer' occupation.","gemini","gemini-3-flash-preview","{""decision"": ""match"", ""selected_index"": 11, ""confidence"": ""high"", ""rationale"": ""The role involves managing a social media presence (LinkedIn) and creating brand narratives (storytelling), which is accurately described by the 'online marketer' occupation.""}"
"Livelihood and Ecotourism Officer (LEO)","የኑሮ እና ኢኮቱሪዝም ኦፊሰር","Tourism and art","Travel Agent and Related Services","P","4221","13","5","8","0.7558","no_match","match","3","environmental programme coordinator","http://data.europa.eu/esco/occupation/59883630-45f9-40e7-9732-9e5ff9758d2b","2133","nel","medium","The role is a professional-level position (Class P) focused on sustainability and environmental programmes, which aligns closely with the objectives of ecotourism and livelihood development.","gemini","gemini-3-flash-preview","{""decision"": ""match"", ""selected_index"": 3, ""confidence"": ""medium"", ""rationale"": ""The role is a professional-level position (Class P) focused on sustainability and environmental programmes, which aligns closely with the objectives of ecotourism and livelihood development.""}"
"Retoucher","መልሶ ማግኛ","Service","Photographic works","U","3431","7","5","2","0.7184","no_match","match","6","photographer","http://data.europa.eu/esco/occupation/66542dd6-05a6-4d9e-97ff-3f4858c31ff9","3431","isco_group","medium","The photographer occupation in the same ISCO group explicitly includes the task of using computer software to edit and produce finished images, which covers the work of a retoucher.","gemini","gemini-3-flash-preview","{""decision"": ""match"", ""selected_index"": 6, ""confidence"": ""medium"", ""rationale"": ""The photographer occupation in the same ISCO group explicitly includes the task of using computer software to edit and produce finished images, which covers the work of a retoucher.""}"
"Lumberjack","የእንጨት መሰኪያ","agriculture","Log production","I","6210","6","5","1","0.8489","no_match","no_match","","","","","","high","None of the candidates represent the core activity of felling trees or log production; the provided options focus on woodworking, trading, or forest conservation.","gemini","gemini-3-flash-preview","{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""None of the candidates represent the core activity of felling trees or log production; the provided options focus on woodworking, trading, or forest conservation.""}"
"Lumion Expert","Lumion ኤክስፐርት","ICT and digital work","Software Design Development and Implementation Works","P","2512","11","5","6","0.6945","no_match","no_match","","","","","","high","Lumion is a 3D rendering and architectural visualization software, and none of the candidate occupations represent 3D artists, architectural visualizers, or CAD specialists.","gemini","gemini-3-flash-preview","{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""Lumion is a 3D rendering and architectural visualization software, and none of the candidate occupations represent 3D artists, architectural visualizers, or CAD specialists.""}"
"M & E advisor","M & E አማካሪ","Service","Quality Management Consulting Service","P","2421","11","5","6","0.8251","no_match","match","8","business consultant","http://data.europa.eu/esco/occupation/6a29d804-f775-446c-bec7-35fc4e28ac97","2421","isco_group","medium","An M&E advisor in the quality management consulting sub-sector performs roles similar to a business consultant, focusing on analyzing organizational performance and processes to provide strategic improvements.","gemini","gemini-3-flash-preview","{""decision"": ""match"", ""selected_index"": 8, ""confidence"": ""medium"", ""rationale"": ""An M&E advisor in the quality management consulting sub-sector performs roles similar to a business consultant, focusing on analyzing organizational performance and processes to provide strategic improvements.""}"
"M and E Coordinator","ኤም እና ኢ አስተባባሪ","Service","Quality Management Consulting Service","P","2421","11","5","6","0.7716","no_match","no_match","","","","","","high","Monitoring and Evaluation (M&E) is a specific professional discipline focused on data-driven performance tracking and impact assessment that is not accurately represented by the provided candidates, which focus on education, logistics, or specific lean manufacturing methodologies.","gemini","gemini-3-flash-preview","{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""Monitoring and Evaluation (M&E) is a specific professional discipline focused on data-driven performance tracking and impact assessment that is not accurately represented by the provided candidates, which focus on education, logistics, or specific lean manufacturing methodologies.""}"
"Manager, IS Governance","ሥራ አስኪያጅ, IS አስተዳደር","ICT and digital work","Software Design Development and Implementation Works","P","2512","10","4","6","0.8146","no_match","no_match","","","","","","high","None of the candidates represent ICT management or governance; the managers provided are generalist or legal-focused, while the technical roles are developer-level.","gemini","gemini-3-flash-preview","{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""None of the candidates represent ICT management or governance; the managers provided are generalist or legal-focused, while the technical roles are developer-level.""}"
"Manager, Performance & Succession Planning Division","ሥራ አስኪያጅ፣ አፈጻጸም እና ተተኪ ዕቅድ ክፍል","Service","Employment agencies and recruitment agencies","P","3333","5","4","1","0.7765","no_match","no_match","","","","","","high","None of the candidates represent a Human Resources management role focused on performance and succession; Candidate 1 is for general business strategy and Candidate 5 is an entry-level recruitment role.","gemini","gemini-3-flash-preview","{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""None of the candidates represent a Human Resources management role focused on performance and succession; Candidate 1 is for general business strategy and Candidate 5 is an entry-level recruitment role.""}"
"Marketing and Crew for Racing Team","ማርኬቲንግ እና ሠራተኞች ለውድድር ቡድን","Sport Culture and tourism","Sport","P","3421","6","5","1","0.7332","no_match","no_match","","","","","","high","None of the candidates capture the specific combination of marketing and operational support (crew) for a racing team within the sports sector.","gemini","gemini-3-flash-preview","{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""None of the candidates capture the specific combination of marketing and operational support (crew) for a racing team within the sports sector.""}"
"Masinko Teacher","ማሲንኮ መምህር","Tourism and art","Culture and Arts Education","P","2355","11","5","6","0.7842","no_match","no_match","","","","","","high","The ELMIS title refers to a teacher of the Masinko (a musical instrument), but the candidate list provided for arts education (ISCO 2355) excludes music teachers, offering only dance, drama, circus, photography, and visual arts.","gemini","gemini-3-flash-preview","{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""The ELMIS title refers to a teacher of the Masinko (a musical instrument), but the candidate list provided for arts education (ISCO 2355) excludes music teachers, offering only dance, drama, circus, photography, and visual arts.""}"
"Material Control Officer","የቁሳቁስ ቁጥጥር ኦፊሰር","Manufacturing","Manufacture of metal products, tanks, reservoirs used for structure","P","7214","9","5","4","0.8296","no_match","no_match","","","","","","high","None of the candidates represent the inventory, supply chain, or logistics management role typically associated with a Material Control Officer in a manufacturing setting.","gemini","gemini-3-flash-preview","{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""None of the candidates represent the inventory, supply chain, or logistics management role typically associated with a Material Control Officer in a manufacturing setting.""}"
"Materials Management Division Head","የቁሳቁስ አስተዳደር ክፍል ኃላፊ","Manufacturing","Manufacture of metal products, tanks, reservoirs used for structure","P","7214","9","5","4","0.779","no_match","no_match","","","","","","high","None of the candidates represent a management-level role specifically for materials or supply chain management in a manufacturing context; the warehouse specialist is a clerk-level role, and the metal production manager focuses on fabrication processes rather than inventory and material flow.","gemini","gemini-3-flash-preview","{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""None of the candidates represent a management-level role specifically for materials or supply chain management in a manufacturing context; the warehouse specialist is a clerk-level role, and the metal production manager focuses on fabrication processes rather than inventory and material flow.""}"
"Matlab Expert","ማትላብ ኤክስፐርት","ICT and digital work","Software Design Development and Implementation Works","P","2512","10","5","5","0.7663","no_match","match","8","software developer","http://data.europa.eu/esco/occupation/f2b15a0e-e65a-438a-affb-29b9d50b77d1","2512","isco_group","medium","A Matlab Expert in the ICT software development sub-sector is best categorized as a software developer specializing in the MATLAB programming environment.","gemini","gemini-3-flash-preview","{""decision"": ""match"", ""selected_index"": 8, ""confidence"": ""medium"", ""rationale"": ""A Matlab Expert in the ICT software development sub-sector is best categorized as a software developer specializing in the MATLAB programming environment.""}"
"MC (Host)","ኤምሲ (አስተናጋጅ)","Tourism and art","Music Band","P","2652","14","5","9","0.7422","no_match","no_match","","","","","","high","None of the candidate occupations accurately describe the role of a Master of Ceremonies (MC) or stage presenter in a music band context; the provided 'host' options are focused on hospitality, clerical work, or personal service rather than stage performance.","gemini","gemini-3-flash-preview","{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""None of the candidate occupations accurately describe the role of a Master of Ceremonies (MC) or stage presenter in a music band context; the provided 'host' options are focused on hospitality, clerical work, or personal service rather than stage performance.""}"
"MEDICAL TOURISM OFFICER","የሕክምና ቱሪዝም ኦፊሰር","Tourism and art","Travel Agent and Related Services","P","4221","13","5","8","0.849","no_match","match","13","travel consultant","http://data.europa.eu/esco/occupation/291da1ab-1f90-426d-bbc5-60d0fa7d608b","4221","isco_group","medium","A medical tourism officer functions as a specialized travel consultant, providing customized information and coordinating travel services for patients seeking healthcare abroad.","gemini","gemini-3-flash-preview","{""decision"": ""match"", ""selected_index"": 13, ""confidence"": ""medium"", ""rationale"": ""A medical tourism officer functions as a specialized travel consultant, providing customized information and coordinating travel services for patients seeking healthcare abroad.""}"
"MEL-MIS Advisor","የMEL-MIS አማካሪ","Service","Information and Communication Technology Consulting Service","P","2511","25","5","20","0.7912","no_match","match","7","ICT consultant","http://data.europa.eu/esco/occupation/b1c80369-067e-4041-84c8-dbe65640a5d8","2511","isco_group","high","The ELMIS title MEL-MIS Advisor combines monitoring and evaluation with management information systems, which falls directly under the scope of an ICT consultant who provides advice on optimizing technological systems and projects within the ICT consulting sub-sector.","gemini","gemini-3-flash-preview","{""decision"": ""match"", ""selected_index"": 7, ""confidence"": ""high"", ""rationale"": ""The ELMIS title MEL-MIS Advisor combines monitoring and evaluation with management information systems, which falls directly under the scope of an ICT consultant who provides advice on optimizing technological systems and projects within the ICT consulting sub-sector.""}"
"Meme Creator Job","Meme ፈጣሪ ኢዮብ","ICT and digital work","Software Design Development and Implementation Works","I","2512","11","5","6","0.7455","no_match","no_match","","","","","","high","None of the candidates describe digital content creation or social media work, focusing instead on software engineering or industrial production.","gemini","gemini-3-flash-preview","{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""None of the candidates describe digital content creation or social media work, focusing instead on software engineering or industrial production.""}"
"Microsoft Dynamics 365 CRM Developer","የማይክሮሶፍት ዳይናሚክስ 365 CRM ገንቢ","ICT and digital work","Software Design Development and Implementation Works","P","2512","11","5","6","0.7297","no_match","match","9","software developer","http://data.europa.eu/esco/occupation/f2b15a0e-e65a-438a-affb-29b9d50b77d1","2512","isco_group","high","A Microsoft Dynamics 365 CRM Developer is a specialized software developer who implements and programs solutions within a specific software platform.","gemini","gemini-3-flash-preview","{""decision"": ""match"", ""selected_index"": 9, ""confidence"": ""high"", ""rationale"": ""A Microsoft Dynamics 365 CRM Developer is a specialized software developer who implements and programs solutions within a specific software platform.""}"
"Mill Supervisor flour","የወፍጮ ሱፐርቫይዘር ዱቄት","Manufacturing","Manufacturing of crushed and partially ground grains","P","8160","59","5","54","0.824","no_match","no_match","","","","","","high","The list contains operators for the flour milling industry and supervisors for unrelated industries (paper, metal, chemicals), but no candidate matches both the 'flour mill' domain and the 'supervisor' seniority level.","gemini","gemini-3-flash-preview","{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""The list contains operators for the flour milling industry and supervisors for unrelated industries (paper, metal, chemicals), but no candidate matches both the 'flour mill' domain and the 'supervisor' seniority level.""}"
"Mind mapping expert","የአእምሮ ካርታ ባለሙያ","Service","Consulting service around social science","P","2632","15","5","10","0.7499","no_match","no_match","","","","","","high","None of the candidate occupations accurately describe the specific work of a mind mapping expert, which involves visual facilitation and information organization, particularly in a social science consulting context.","gemini","gemini-3-flash-preview","{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""None of the candidate occupations accurately describe the specific work of a mind mapping expert, which involves visual facilitation and information organization, particularly in a social science consulting context.""}"
"Mini PHP project modification","አነስተኛ ፒኤችፒ ፕሮጀክት ማሻሻያ","ICT and digital work","Software Design Development and Implementation Works","P","2512","10","4","6","0.7049","no_match","match","8","software developer","http://data.europa.eu/esco/occupation/f2b15a0e-e65a-438a-affb-29b9d50b77d1","2512","isco_group","high","PHP is a programming language and modifying a software project is a core activity of a software developer.","gemini","gemini-3-flash-preview","{""decision"": ""match"", ""selected_index"": 8, ""confidence"": ""high"", ""rationale"": ""PHP is a programming language and modifying a software project is a core activity of a software developer.""}"
"MIS Officer","የኤምአይኤስ ኦፊሰር","ICT and digital work","Database organization and data processing","P","2521","10","5","5","0.8321","no_match","match","6","database administrator","http://data.europa.eu/esco/occupation/8c57af09-719c-42b3-be40-6ed4946236cc","2521","isco_group","high","An MIS Officer in the ICT sector responsible for database organization is most accurately represented by the Database Administrator role, which handles the operational management and administration of information systems.","gemini","gemini-3-flash-preview","{""decision"": ""match"", ""selected_index"": 6, ""confidence"": ""high"", ""rationale"": ""An MIS Officer in the ICT sector responsible for database organization is most accurately represented by the Database Administrator role, which handles the operational management and administration of information systems.""}"
"Mobile game demo video creator","የሞባይል ጨዋታ ማሳያ ቪዲዮ ፈጣሪ","ICT and digital work","Software Design Development and Implementation Works","P","2512","11","5","6","0.7945","no_match","no_match","","","","","","high","The ELMIS title describes a multimedia/video production role, whereas all provided candidates focus on software engineering, game logic design, testing, or management.","gemini","gemini-3-flash-preview","{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""The ELMIS title describes a multimedia/video production role, whereas all provided candidates focus on software engineering, game logic design, testing, or management.""}"
"Moodle LMS customization","Moodle LMS ማበጀት","ICT and digital work","Software Design Development and Implementation Works","P","2512","11","5","6","0.6354","no_match","match","9","software developer","http://data.europa.eu/esco/occupation/f2b15a0e-e65a-438a-affb-29b9d50b77d1","2512","isco_group","high","Moodle LMS customization is a specialized form of software development involving programming and implementing changes to an existing platform.","gemini","gemini-3-flash-preview","{""decision"": ""match"", ""selected_index"": 9, ""confidence"": ""high"", ""rationale"": ""Moodle LMS customization is a specialized form of software development involving programming and implementing changes to an existing platform.""}"
"Moroccan bath specialist","የሞሮኮ መታጠቢያ ስፔሻሊስት","Service","Hair and beauty care","P","5141","10","5","5","0.742","no_match","match","2","massage therapist","http://data.europa.eu/esco/occupation/9487f835-b5a9-4742-8ecf-35520911e28c","3255","nel","medium","A Moroccan bath specialist performs body-focused exfoliating and massage treatments for well-being, which aligns most closely with the duties of a massage therapist in a spa or beauty context.","gemini","gemini-3-flash-preview","{""decision"": ""match"", ""selected_index"": 2, ""confidence"": ""medium"", ""rationale"": ""A Moroccan bath specialist performs body-focused exfoliating and massage treatments for well-being, which aligns most closely with the duties of a massage therapist in a spa or beauty context.""}"
"MPesa Data Collector","MPesa ውሂብ ሰብሳቢ","ICT and digital work","Database organization and data processing","P","2521","9","5","4","0.7097","no_match","no_match","","","","","","high","None of the candidate occupations accurately describe the role of a data collector; the provided options are either high-level database design/administration roles or unrelated positions in debt collection or retail management.","gemini","gemini-3-flash-preview","{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""None of the candidate occupations accurately describe the role of a data collector; the provided options are either high-level database design/administration roles or unrelated positions in debt collection or retail management.""}"
