elmis_title,amharic,sector,sub_sector,professional_formal,stage1_best_score,stage1_best_label,stage1_best_uri,stage2_decision,stage2_selected_index,stage2_selected_label,stage2_selected_uri,stage2_selected_isco4,stage2_confidence,stage2_rationale,llm_provider,llm_model,raw_response
Junior agent sales support officer,የጁኒየር ወኪል የሽያጭ ድጋፍ መኮንን,Business,Retail trade in specialized stores,P,0.8425,sales support assistant,http://data.europa.eu/esco/occupation/5c1eba1e-7820-4287-9746-4c5906320100,match,1.0,sales support assistant,http://data.europa.eu/esco/occupation/5c1eba1e-7820-4287-9746-4c5906320100,4311,high,"The ELMIS title 'Junior agent sales support officer' aligns perfectly with the 'sales support assistant' occupation, which focuses on administrative and clerical tasks that support sales efforts.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 1, ""confidence"": ""high"", ""rationale"": ""The ELMIS title 'Junior agent sales support officer' aligns perfectly with the 'sales support assistant' occupation, which focuses on administrative and clerical tasks that support sales efforts.""}"
Junior and Senior Researchers/ Consultants,ጁኒየር እና ከፍተኛ ተመራማሪዎች/ አማካሪዎች,Service,Consulting service around social science,P,0.76,business consultant,http://data.europa.eu/esco/occupation/6a29d804-f775-446c-bec7-35fc4e28ac97,no_match,,,,,medium,"The candidates are all domain-specific (Business, Education, Marketing, ICT), whereas the ELMIS title and sub-sector specifically focus on social science research and consulting, which is not represented.",gemini,gemini-3-flash-preview,"{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""medium"", ""rationale"": ""The candidates are all domain-specific (Business, Education, Marketing, ICT), whereas the ELMIS title and sub-sector specifically focus on social science research and consulting, which is not represented.""}"
Junior and senior Sells and Marketer,ጁኒየር እና ከፍተኛ ሽያጭ እና ገበያተኛ,Business,Wholesale business in specialized stores,P,0.7618,commercial sales representative,http://data.europa.eu/esco/occupation/14031d4a-6e99-442f-b4fe-18262b6432b2,match,1.0,commercial sales representative,http://data.europa.eu/esco/occupation/14031d4a-6e99-442f-b4fe-18262b6432b2,3322,high,"Commercial sales representatives accurately reflect the B2B nature of wholesale business in specialized stores, covering both the sales and marketing aspects.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 1, ""confidence"": ""high"", ""rationale"": ""Commercial sales representatives accurately reflect the B2B nature of wholesale business in specialized stores, covering both the sales and marketing aspects.""}"
Junior Anesthetist Professional,ጁኒየር ማደንዘዣ ባለሙ,Health,Health,P,0.8237,anaesthetic technician,http://data.europa.eu/esco/occupation/16e65196-3449-4c88-b379-0aa98f43db2b,match,1.0,anaesthetic technician,http://data.europa.eu/esco/occupation/16e65196-3449-4c88-b379-0aa98f43db2b,3259,high,"Candidate 1 is the only option specifically related to anaesthesia, and its description of working under supervision aligns well with the 'Junior' seniority level.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 1, ""confidence"": ""high"", ""rationale"": ""Candidate 1 is the only option specifically related to anaesthesia, and its description of working under supervision aligns well with the 'Junior' seniority level.""}"
Junior Architect and Draftsman,ጁኒየር አርክቴክት እና ንድፍ አውጪ,Construction,Building Construction Contractor,P,0.8494,architectural drafter,http://data.europa.eu/esco/occupation/364cb5ca-3002-425f-b815-aefa513df78a,match,1.0,architectural drafter,http://data.europa.eu/esco/occupation/364cb5ca-3002-425f-b815-aefa513df78a,3118,high,The candidate 'architectural drafter' precisely matches both the architectural domain and the 'draftsman' portion of the ELMIS title.,gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 1, ""confidence"": ""high"", ""rationale"": ""The candidate 'architectural drafter' precisely matches both the architectural domain and the 'draftsman' portion of the ELMIS title.""}"
Junior Assembly Technician,የጁኒየር መሰብሰቢያ ቴክኒሻን,Manufacturing,"Manufacture of motor vehicle parts, trailers and semi-trailers",P,0.8464,production engineering technician,http://data.europa.eu/esco/occupation/11833a96-fc27-4b03-a53d-892ac891a2bb,match,1.0,production engineering technician,http://data.europa.eu/esco/occupation/11833a96-fc27-4b03-a53d-892ac891a2bb,3115,medium,A production engineering technician's role in following up production processes and inspecting products aligns well with a junior assembly technician's duties in a motor vehicle manufacturing context.,gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 1, ""confidence"": ""medium"", ""rationale"": ""A production engineering technician's role in following up production processes and inspecting products aligns well with a junior assembly technician's duties in a motor vehicle manufacturing context.""}"
Junior Asset and Facility Management Officer,የጁኒየር ንብረት እና ፋሲሊቲ አስተዳደር ኦፊሰር,Service,General maintenance,P,0.8462,facilities manager,http://data.europa.eu/esco/occupation/b42c5ed4-c6e4-4694-934f-96127719cc43,match,1.0,facilities manager,http://data.europa.eu/esco/occupation/b42c5ed4-c6e4-4694-934f-96127719cc43,1219,high,"The facilities manager occupation aligns directly with the duties of managing building maintenance, safety, and utilities infrastructure as described in the ELMIS title.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 1, ""confidence"": ""high"", ""rationale"": ""The facilities manager occupation aligns directly with the duties of managing building maintenance, safety, and utilities infrastructure as described in the ELMIS title.""}"
Junior Asset Liabilities & Operational Risk Management Officer,የጁኒየር ንብረት እዳዎች እና የተግባር ስጋት አስተዳደር ኦፊሰር,Service,Finance and Administration Services,P,0.813,financial risk manager,http://data.europa.eu/esco/occupation/7a6ca615-a2bc-499d-8288-d186ce2594ea,match,1.0,financial risk manager,http://data.europa.eu/esco/occupation/7a6ca615-a2bc-499d-8288-d186ce2594ea,2412,high,"Candidate 1 explicitly covers identifying risks to assets and capital, including operational risk, which perfectly matches the ELMIS title's scope.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 1, ""confidence"": ""high"", ""rationale"": ""Candidate 1 explicitly covers identifying risks to assets and capital, including operational risk, which perfectly matches the ELMIS title's scope.""}"
Junior Assistant Agent,የጁኒየር ረዳት ወኪል,Service,Other services,P,0.8371,executive assistant,http://data.europa.eu/esco/occupation/2a04a1df-a3b9-403e-a245-e7f93fdddd44,match,3.0,administrative assistant,http://data.europa.eu/esco/occupation/044d78cc-f62f-4532-83a5-8e04f2889652,3343,medium,"The ELMIS title 'Junior Assistant Agent' suggests an entry-level administrative support role, which is best captured by the duties and seniority of an administrative assistant.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 3, ""confidence"": ""medium"", ""rationale"": ""The ELMIS title 'Junior Assistant Agent' suggests an entry-level administrative support role, which is best captured by the duties and seniority of an administrative assistant.""}"
Junior Assistant Mechanic,ጁኒየር ረዳት መካኒክ,Service,Motor vehicle repair work,P,0.8156,bicycle mechanic,http://data.europa.eu/esco/occupation/336cf331-8082-4a0c-bf5f-e7c54706211c,match,4.0,vehicle technician,http://data.europa.eu/esco/occupation/4ad4024e-d1d3-4dea-b6d1-2c7948111dce,7231,high,"The sub-sector is motor vehicle repair work, which aligns perfectly with the vehicle technician candidate and its associated ISCO 7231 classification.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 4, ""confidence"": ""high"", ""rationale"": ""The sub-sector is motor vehicle repair work, which aligns perfectly with the vehicle technician candidate and its associated ISCO 7231 classification.""}"
Junior Associate,ጁኒየር ተባባሪ,Service,Other services,P,0.7978,executive assistant,http://data.europa.eu/esco/occupation/2a04a1df-a3b9-403e-a245-e7f93fdddd44,no_match,,,,,high,"The term 'Junior Associate' is a generic professional title, whereas the provided ESCO candidates are either sector-specific or administrative/clerical in nature.",gemini,gemini-3-flash-preview,"{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""The term 'Junior Associate' is a generic professional title, whereas the provided ESCO candidates are either sector-specific or administrative/clerical in nature.""}"
Junior ATM and POS Engineer,ጁኒየር ኤቲኤም እና POS መሐንዲስ,ICT and digital work,Software Design Development and Implementation Works,P,0.8337,ATM repair technician,http://data.europa.eu/esco/occupation/490d0c6f-0dc8-4825-9f17-207749fb1785,match,1.0,ATM repair technician,http://data.europa.eu/esco/occupation/490d0c6f-0dc8-4825-9f17-207749fb1785,7421,high,The candidate 'ATM repair technician' is the only relevant match for the specific hardware and technology mentioned in the ELMIS title.,gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 1, ""confidence"": ""high"", ""rationale"": ""The candidate 'ATM repair technician' is the only relevant match for the specific hardware and technology mentioned in the ELMIS title.""}"
Junior Auto Mechanic,ጁኒየር አውቶ መካኒክ,Service,Motor vehicle repair work,P,0.8321,bicycle mechanic,http://data.europa.eu/esco/occupation/336cf331-8082-4a0c-bf5f-e7c54706211c,match,3.0,vehicle technician,http://data.europa.eu/esco/occupation/4ad4024e-d1d3-4dea-b6d1-2c7948111dce,7231,high,"The ELMIS title 'Junior Auto Mechanic' corresponds directly to the ESCO 'vehicle technician' which covers inspecting, maintaining, and repairing motor vehicles.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 3, ""confidence"": ""high"", ""rationale"": ""The ELMIS title 'Junior Auto Mechanic' corresponds directly to the ESCO 'vehicle technician' which covers inspecting, maintaining, and repairing motor vehicles.""}"
Junior Bank Reconciliation Accountant,የጁኒየር ባንክ ማስታረቅ አካውንታንት,Service,Accounting audit and adminstrative works,P,0.8357,public finance accountant,http://data.europa.eu/esco/occupation/78db356f-a96a-4456-ab29-2de62e52f830,match,2.0,accountant,http://data.europa.eu/esco/occupation/eda0d957-3c3c-4139-b89a-a18bc9e18897,2411,high,"The role is a junior-level professional accounting position focused on reconciliation, which falls directly under the broad 'accountant' ESCO occupation (ISCO 2411).",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 2, ""confidence"": ""high"", ""rationale"": ""The role is a junior-level professional accounting position focused on reconciliation, which falls directly under the broad 'accountant' ESCO occupation (ISCO 2411).""}"
Junior blockchain and cryptocurrency researcher,ጁኒየር blockchain እና cryptocurrency ተመራማሪ,ICT and digital work,General research and experimental development work,P,0.7809,blockchain developer,http://data.europa.eu/esco/occupation/24135b84-cbdd-4d42-9ed2-02fd982d15b2,no_match,,,,,high,"The ELMIS title describes a research role in experimental development, whereas the ESCO candidates are restricted to implementation, architecture, or financial trading.",gemini,gemini-3-flash-preview,"{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""The ELMIS title describes a research role in experimental development, whereas the ESCO candidates are restricted to implementation, architecture, or financial trading.""}"
junior call center operator,ጁኒየር የጥሪ ማዕከል ኦፕሬተር,Service,Other services,I,0.8498,call centre analyst,http://data.europa.eu/esco/occupation/30ca97f4-a4fd-4189-a781-ac08f6b09b78,match,4.0,call centre agent,http://data.europa.eu/esco/occupation/0ededdc2-050a-4ec3-8e70-6295105fcd19,5244,high,"A call centre agent is the standard entry-level role for handling calls, matching the 'junior' and 'operator' descriptors in the ELMIS title.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 4, ""confidence"": ""high"", ""rationale"": ""A call centre agent is the standard entry-level role for handling calls, matching the 'junior' and 'operator' descriptors in the ELMIS title.""}"
Junior Card Banking Officer,ጁኒየር ካርድ የባንክ ኦፊሰር,Service,Finance and Administration Services,P,0.8295,bank manager,http://data.europa.eu/esco/occupation/754ce08f-b4d9-4b9c-b9d2-06f15258a3ce,match,4.0,credit adviser,http://data.europa.eu/esco/occupation/1a87e487-6761-4374-b6db-100ac5a9ad5a,3312,medium,"Candidate 4 is the only professional role that explicitly mentions credit cards in its description, aligning with the Card Banking specialty of the ELMIS title.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 4, ""confidence"": ""medium"", ""rationale"": ""Candidate 4 is the only professional role that explicitly mentions credit cards in its description, aligning with the Card Banking specialty of the ELMIS title.""}"
Junior Cheque Clearance Officer,የጁኒየር ቼክ ማጽጃ ኦፊሰር,Service,Finance and Administration Services,P,0.7844,court enforcement officer,http://data.europa.eu/esco/occupation/b471350e-23ce-4789-a821-5500b28cffe1,no_match,,,,,high,"None of the candidates relate to banking or financial cheque clearing; they all focus on legal enforcement, parking, or social work.",gemini,gemini-3-flash-preview,"{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""None of the candidates relate to banking or financial cheque clearing; they all focus on legal enforcement, parking, or social work.""}"
Junior Claim Officer - Health and Life Insurance,ጁኒየር የይገባኛል ጥያቄ መኮንን - የጤና እና የሕይወት መድን,Service,Finance and Administration Services,P,0.8192,insurance claims manager,http://data.europa.eu/esco/occupation/942211c1-b534-4a14-ae85-38ea44c2d14b,no_match,,,,,high,"None of the candidates match the junior claim officer role; candidate 1 is a manager, and the others are policy or risk consultants.",gemini,gemini-3-flash-preview,"{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""None of the candidates match the junior claim officer role; candidate 1 is a manager, and the others are policy or risk consultants.""}"
Junior Claims and Recovery Officer,የጁኒየር የይገባኛል ጥያቄዎች እና መልሶ ማግኛ ኦፊሰር,Service,Finance and Administration Services,P,0.7706,insurance claims manager,http://data.europa.eu/esco/occupation/942211c1-b534-4a14-ae85-38ea44c2d14b,no_match,,,,,high,"The ELMIS title is a junior-level operational role in finance/insurance, while the only domain-relevant candidate is a manager-level position; other candidates are in unrelated fields (social services or legal).",gemini,gemini-3-flash-preview,"{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""The ELMIS title is a junior-level operational role in finance/insurance, while the only domain-relevant candidate is a manager-level position; other candidates are in unrelated fields (social services or legal).""}"
Junior Clearing and Settlement Officer,የጁኒየር ማጽዳት እና ማቋቋሚያ ኦፊሰር,Service,Finance and Administration Services,P,0.7716,court administrative officer,http://data.europa.eu/esco/occupation/a7f63810-a21a-4e7e-8aa2-6637d14ea3c1,no_match,,,,,high,"The ELMIS title refers to a financial transaction processing role, while all provided ESCO candidates are related to legal, judicial, or government licensing sectors.",gemini,gemini-3-flash-preview,"{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""The ELMIS title refers to a financial transaction processing role, while all provided ESCO candidates are related to legal, judicial, or government licensing sectors.""}"
Junior Climate Change Advisor,ጁኒየር የአየር ንብረት ለውጥ አማካሪ,Service,Consulting around natural science,P,0.8009,environmental policy officer,http://data.europa.eu/esco/occupation/b5d2db88-9e2b-4efa-8f2f-0e62a494791e,match,1.0,environmental policy officer,http://data.europa.eu/esco/occupation/b5d2db88-9e2b-4efa-8f2f-0e62a494791e,2422,high,"The environmental policy officer role focuses on research, analysis, and expert advice for environmental concerns, which closely aligns with the title and consulting nature of a Climate Change Advisor.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 1, ""confidence"": ""high"", ""rationale"": ""The environmental policy officer role focuses on research, analysis, and expert advice for environmental concerns, which closely aligns with the title and consulting nature of a Climate Change Advisor.""}"
Junior clinical and Midwife nurses,ጁኒየር ክሊኒካዊ እና አዋላጅ ነርሶች,Health,Health,P,0.8453,midwife,http://data.europa.eu/esco/occupation/95cda6a9-a70a-4a93-9442-11d573cb4a02,match,1.0,midwife,http://data.europa.eu/esco/occupation/95cda6a9-a70a-4a93-9442-11d573cb4a02,2222,high,Candidate 1 accurately reflects the midwifery component and professional status (ISCO 2222) indicated by the ELMIS title and profession class P.,gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 1, ""confidence"": ""high"", ""rationale"": ""Candidate 1 accurately reflects the midwifery component and professional status (ISCO 2222) indicated by the ELMIS title and profession class P.""}"
Junior Clinical Nurse,ጁኒየር ክሊኒካል ነርስ,Health,Health,P,0.8496,specialist nurse,http://data.europa.eu/esco/occupation/18e14e61-495b-44cc-a7c6-df4c625934ba,match,5.0,nurse responsible for general care,http://data.europa.eu/esco/occupation/8d3e8aaa-791b-4c75-a465-f3f827028f50,2221,high,Candidate 5 represents the standard entry-level professional nursing role (ISCO 2221) which aligns with the ELMIS title and professional classification.,gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 5, ""confidence"": ""high"", ""rationale"": ""Candidate 5 represents the standard entry-level professional nursing role (ISCO 2221) which aligns with the ELMIS title and professional classification.""}"
Junior Coffee Sampler,ጁኒየር ቡና ናሙና,agriculture,Coffee cultivation,U,0.8445,coffee taster,http://data.europa.eu/esco/occupation/3d7b36e2-bfb8-4b67-9585-6787c1dda13e,match,1.0,coffee taster,http://data.europa.eu/esco/occupation/3d7b36e2-bfb8-4b67-9585-6787c1dda13e,7515,high,"A coffee sampler's primary role is the selection and preliminary evaluation of samples for grading, which corresponds most closely with the coffee taster occupation.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 1, ""confidence"": ""high"", ""rationale"": ""A coffee sampler's primary role is the selection and preliminary evaluation of samples for grading, which corresponds most closely with the coffee taster occupation.""}"
Junior Collateral Valuator,ጁኒየር ኮላተራል ቫልዩተር,Service,Finance and Administration Services,P,0.7181,loan officer,http://data.europa.eu/esco/occupation/8e185c49-704e-49c0-8584-a7e0b618f628,no_match,,,,,high,"None of the candidates represent the specific role of an asset or collateral valuer; 'loan officer' and 'foreclosure specialist' are distinct roles within the same sector, and the other candidates are entirely unrelated.",gemini,gemini-3-flash-preview,"{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""None of the candidates represent the specific role of an asset or collateral valuer; 'loan officer' and 'foreclosure specialist' are distinct roles within the same sector, and the other candidates are entirely unrelated.""}"
Junior Commercial Officer,ጁኒየር የንግድ ኦፊሰር,Business,Wholesale business in specialized stores,P,0.836,chief marketing officer,http://data.europa.eu/esco/occupation/0ddbf393-38f1-4c22-b14c-fe775008f321,match,2.0,commercial sales representative,http://data.europa.eu/esco/occupation/14031d4a-6e99-442f-b4fe-18262b6432b2,3322,medium,"The role of a commercial officer in a wholesale business context aligns most closely with commercial sales and trade representation, despite the seniority level difference in ISCO codes.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 2, ""confidence"": ""medium"", ""rationale"": ""The role of a commercial officer in a wholesale business context aligns most closely with commercial sales and trade representation, despite the seniority level difference in ISCO codes.""}"
Junior Communication & Documentation Officer,ጁኒየር ኮሙኒኬሽን እና ሰነድ ኦፊሰር,Service,Information and Communication Technology Consulting Service,P,0.8136,document management officer,http://data.europa.eu/esco/occupation/ef5b17a5-3ca8-4965-bd3d-61c4aca490d1,match,2.0,public relations officer,http://data.europa.eu/esco/occupation/c0489e22-6a1b-4e52-974a-eb71bbb42134,2432,medium,"Candidate 2 aligns with the professional level (ISCO 2432) and the core 'Communication' duty, whereas Candidate 1 is categorized as a manager.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 2, ""confidence"": ""medium"", ""rationale"": ""Candidate 2 aligns with the professional level (ISCO 2432) and the core 'Communication' duty, whereas Candidate 1 is categorized as a manager.""}"
Junior Container Documentation Officer,የጁኒየር ኮንቴይነር ሰነድ ኦፊሰር,"Logistics, transportation and communication",Freight Transportation,P,0.7952,container equipment assembly supervisor,http://data.europa.eu/esco/occupation/040f62f5-d570-4d3f-b732-c8ea4afc2738,match,2.0,document management officer,http://data.europa.eu/esco/occupation/ef5b17a5-3ca8-4965-bd3d-61c4aca490d1,1349,medium,"Candidate 2 represents the core functional role of managing, classifying, and archiving documents, which aligns with the title 'Documentation Officer' despite the general nature of the ESCO description.",gemini,gemini-3-flash-preview,"{""decision"": ""match"", ""selected_index"": 2, ""confidence"": ""medium"", ""rationale"": ""Candidate 2 represents the core functional role of managing, classifying, and archiving documents, which aligns with the title 'Documentation Officer' despite the general nature of the ESCO description.""}"
Junior Control And Compliance Officer,ጁኒየር ቁጥጥር እና ተገዢነት ኦፊሰር,Service,Inspection,P,0.8328,compliance engineer,http://data.europa.eu/esco/occupation/a950e88b-cb5e-4a7d-8a94-3f9460b487d7,no_match,,,,,high,"The ELMIS title refers to a general professional compliance and control role, whereas all provided ESCO candidates are highly specialized in specific domains such as engineering, tax, traffic enforcement, or health and safety.",gemini,gemini-3-flash-preview,"{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""The ELMIS title refers to a general professional compliance and control role, whereas all provided ESCO candidates are highly specialized in specific domains such as engineering, tax, traffic enforcement, or health and safety.""}"
Junior Cooperative Advisor,ጁኒየር የትብብር አማካሪ,Service,Consulting service around social science,P,0.8062,academic advisor,http://data.europa.eu/esco/occupation/abab3d6a-82b9-49bd-8a4b-7bc678130558,no_match,,,,,high,"None of the candidate occupations specifically address the organization, management, or advisory needs of cooperative societies; the candidates are focused on students, finance, or high-level economic forecasting.",gemini,gemini-3-flash-preview,"{""decision"": ""no_match"", ""selected_index"": null, ""confidence"": ""high"", ""rationale"": ""None of the candidate occupations specifically address the organization, management, or advisory needs of cooperative societies; the candidates are focused on students, finance, or high-level economic forecasting.""}"
