nos_title,nos_sector,nos_code,zqf_level,decision,llm_confidence,esco_code,esco_label,similarity,chosen_rank,embedding_top_label,embedding_top_sim,reason,nos_description
Scuba Diver,Agriculture,NOS. SD.01,4,NEW_LOCAL,N/A,,,,,construction commercial diver,87.0,Wrong domain. NOS is fisheries/aquaculture sector diving for inshore waters. ESCO construction commercial diver is for construction underwater work.,"The role of a SCUBA Diver is to perform commercial diving activities and underwater operations in inshore waters. The spectrum of SCUBA diving includes industrial tasks (Inspecting nets and enclosures, locate or recover submerged automobiles, boats, logs, articles, search for bodies and administer first aid and CPR in case of emergencies) performed from just below the water to 30m depth"
Livestock Slaughter Supervisor,Agriculture,NOS. LSS.01,3,NEW_LOCAL,N/A,,,,,animal feed supervisor,84.4,"None of the ESCO options fully captures the supervisory and comprehensive nature of the NOS role, which includes overseeing the entire slaughter process from live animal handling to carcass management.","Ensure that animals and carcasses are managed safely and hygienically before, and throughout the slaughter process"
Aquaculture Farmer,Agriculture,NOS. AF.01,4,NEW_LOCAL,N/A,,,,,aquaculture husbandry worker,90.9,NOS implies farm ownership/management of aquaculture operation. ESCO aquaculture husbandry worker is a lower-level worker role.,An Aquaculture Farmer is responsible for growing aquatic organisms in culture system and managing the stock from fish seed to marketable size
Aquaculture Technician,Agriculture,NOS.AT.01,6,MATCH,high,6221.6,aquaculture husbandry technician,92.1,1,aquaculture husbandry technician,92.1,,An Aquaculture Technician is responsible for maintaining all aspects of the fish farm and farm organisms which are used as food and also exported
Fish Seed Grower,Agriculture,NOS.FSG.01,5,MATCH,high,6221.4,aquaculture hatchery technician,89.6,4,aquaculture rearing technician,90.2,,Fish Seed Grower is responsible for the seed production of aquatic organisms cultured in water aquaculture habitat
Fisheries Extension Assistant,Agriculture,NOS.FEA.01,5,NEW_LOCAL,N/A,,,,,community health worker,85.6,Community-level fisheries extension worker. ESCO community health worker is wrong domain entirely.,"A Fisheries Extension Assistant is responsible for making field visits, mobilising members of the fishing community for extension training, gathering of information and other activities at community level"
Senior Agriculture Officer,Agriculture,NOS.SAO.01,7,NEW_LOCAL,N/A,,,,,agricultural technician,85.6,Supervisory agricultural extension role bridging Ministry and farmers. ESCO agricultural technician does lab/field experiments - different function.,"The SAO works with the Research and Development team to market and transfer the technology, products, knowledge and information to the farmers, acting as a bridge between the Ministry of Agriculture and farmers increasing their productivity and profitability"
Precision Agricultural Technologist,Agriculture,NOS. PAT.01,6,MATCH,high,7233.8.1,agricultural machinery technician,89.8,1,agricultural machinery technician,89.8,,"A Precision Agricultural Technologist provides technical services of setting up, operating, repairing and maintaining precision agricultural machines, equipment, tools, sensors and decision-support systems for context-specific management of agricultural production operations and management processes thereby ensuring efficiency, profitability and environmental sustainability"
Architect,Construction,NOS.A.01,7,MATCH,high,2161.1,architect,90.0,1,architect,90.0,,An Architect is responsible for the design of physical spaces and the management of the construction of such spaces
Civil Engineer,Construction,NOS.CE.01,7,MATCH,high,2142.1,civil engineer,90.0,1,civil engineer,90.0,,"A Civil Engineer plans, designs and oversees construction and maintenance of building structures and infrastructure, such as roads, railways, airports, bridges, harbours, dams, irrigation projects, power plants, and water and sewerage systems, etc"
Environmental Officer,Construction,NOS.EO.01,7,MATCH,high,1349.13,environmental protection manager,89.3,2,environmental policy officer,89.7,,"An Environmental Officer plays a crucial role in the industry by assessing, monitoring, and managing the impact of industrial activities on the environment. The Environmental Officer is responsible for the development and implementation of environmental policies, ensuring compliance with environmental regulations, implementing sustainable practices, and managing environmental projects or programmes. The expertise of an Environmental Officer contributes to minimizing the organisation’s ecological footprint and promoting environmentally responsible practices. The Environmental Officer is further responsible for mitigation and remediation of risks, improving environmental performance, and supporting the organisation’s commitment to environmental stewardship"
General Bricklayer,Construction,NOS.GB.01,4,MATCH,high,7112.1,bricklayer,90.9,1,bricklayer,90.9,,"The General bricklayer performs routine bricklaying works including brickwork, blockwork, laying paver blocks, plastering, cementitious waterproofing, rubble masonry and flooring works and should also be able to set out simple buildings"
Heavy Duty Machine Operator,Construction,NOS.MO.01,4,NEW_LOCAL,N/A,,,,,bulldozer operator,87.7,"NOS operates multiple heavy machine types for roads, bridges, buildings. ESCO bulldozer operator is limited to one machine type.","A Machine Operator drives, manoeuvres or controls heavy machinery used to construct roads, bridges, buildings, and other structures. Machine Operator takes care of all machine-specific functions such as configuring the equipment, loading, and operating the machines, and optimising the machine capability. A Machine Operator needs to ensure that the machine works at its full capacity, oversee its maintenance, and perform timely quality checks. In performing this task, a Machine Operator shall clean and maintain equipment, make basic repairs as necessary, report malfunctioning equipment to supervisors, move levers, push pedals, or turn valves to drive and manoeuvre equipment, and coordinate machine actions with crew members using hand or audio signals. A Machine Operator shall use the heavy-duty construction equipment to complete works as per task specifications"
Quantity Surveyor,Construction,NOS.QS.01,7,MATCH,high,2149.14,quantity surveyor,90.9,1,quantity surveyor,90.9,,"A Quantity Surveyor is a graduate who has knowledge in the measurement of Civil Engineering structures, such as Buildings (residential, commercial, and specialised), Roads, Railways, Mechanical (Heating, Ventilation, and Air Condition), Electrical and Plumbing from drawings"
Safety Specialist,Construction,NOS.SS.01,6,MATCH,high,2263.3,health and safety officer,86.7,2,health and safety engineer,87.0,,"A Safety Specialist is responsible for monitoring and assessing hazardous and unsafe situations, and developing measures to assure personnel safety. The Safety Specialist is also responsible for supporting the development and implementation of good safety practices. Further, the Safety Specialist is responsible for supporting the implementation of projects and operations in line with policies, common system standards, and international best practices. As part of his/her duty of care, the Safety Specialist should commit to ensuring that people do not fall sick or sustain injuries when carrying out operations. He/she must ensure a zero-tolerance approach to poor health and safety performance, and support development of health and safety training, and monitoring and compliance. The Safety Specialist also needs to act as Rescue/Emergency Operator"
Draughts Person,Construction,NOS.DP.01,4,MATCH,high,3118.3,drafter,88.3,2,architectural drafter,89.6,,"The Draughts Person is responsible for preparation and editing of documentation of all types of drawings prepared for construction and installation works, showing all relevant plans, sections, elevations, specifications and details along with other requirements as applicable, based on the type of drawing"
Electrician – Low Voltage,Construction,NOS.E,4,MATCH,high,7411.1,electrician,88.1,2,building electrician,89.0,,"The Electrician – LV is responsible for laying and terminating LV cables, installing and maintaining construction equipment at a construction site and carrying out electrical wiring works at residential, commercial and industrial buildings/premises"
Geomatics Engineer,Construction,NOS.GE.01,7,MATCH,high,2165.4,land surveyor,90.1,1,land surveyor,90.1,,"Make exact measurements and determine property boundaries. Provide data relevant to the shape, contour, gravitation, location, elevation, or dimension of land or land features on or near the earth's surface for engineering, mapmaking, mining, land evaluation, construction, and other purposes"
Metal Fabricator,Construction,NOS.MF.01,6,NEW_LOCAL,N/A,,,,,metal products assembler,90.6,"None of the ESCO options fully encompasses the fabrication, erection, inspection, and welding aspects of the Zambian Metal Fabricator role.",The Metal Fabricator is responsible for fabrication of steel assemblies and erection of final products
Steel Fixer,Construction,NOS.SF.01,3,MATCH,high,7214.3,structural ironworker,87.6,1,structural ironworker,87.6,,"The Steel Fixer is responsible for interpreting of drawing and bending schedules marking, cutting and bending of steel bars using hand or power tools, as well as fabricating, placing and fixing steel reinforcements at desired locations"
Bio-digester Plant Constructor,Energy,NOS.DBDC.01,,MATCH,high,3133.1.2,biogas technician,85.1,2,digester operator,86.4,,The BDC will be responsible for;  Following strictly the design and drawing as provided to them during construction of bio- digesters.  Ensuring that the quality standards of construction materials and appliances are properly complied with.  Selecting proper size of bio-digester based upon the availability of feedstock and customer needs.  Providing necessary information on benefits of bio-digester to the users.  Providing the users with minimum requirement of knowledge and skill to operate various components of bio-digester
Coded Welder,Energy,NOS.CW.01,3,MATCH,high,7212.3,welder,88.7,2,welding engineer,88.8,,"A coded welder is a person who has been tested and certified competent to perform a specific welding process and is responsible for permanently joining/fusing equipment, structures and various types of metals together through the specified welding process"
Energy Auditor,Energy,NOS.EA.01,,MATCH,high,3112.1.5,energy assessor,90.5,1,energy assessor,90.5,,"Energy Auditors undertake energy efficiency assessments of buildings and industrial facilities. Their audits cover building systems, occupancy, operations, maintenance and code compliance for the purpose of improving energy efficiency with cost benefit analysis and an action plan to reduce consumption"
LPG System Installer,Energy,NOS.LPGI.01,,MATCH,high,7126.3,gas service technician,87.3,1,gas service technician,87.3,,"LPG System Installers are responsible for system designing, installing, operating, maintaining and testing and commissioning of LPG systems, and ensure that they meet the performance and reliability needs of customers by complying with all applicable codes, standards, procedures, specifications and safety requirements"
Non Destructive Test Specialist,Energy,NOS.NDTS.01,,MATCH,high,7543.5,non-destructive testing specialist,91.0,1,non-destructive testing specialist,91.0,,"A Non-Destructive Test Specialist plans, analyses, develops and tests for conformity to industrial standards. He or She is responsible for adherence to applicable industrial standards and regulations"
Solar PV Installer,Energy,NOS.SPVI.01,,MATCH,high,7411.1.4,solar energy technician,89.3,1,solar energy technician,89.3,,"Solar PV Installers are responsible for checking, adapting, implementing, configuring, electrical trouble shooting, installing, inspecting, testing, and commissioning different components of photovoltaic systems, that meet the performance and reliability needs of customers by incorporating quality craftsmanship and complying with all applicable codes, standards, and safety requirements"
Biomedical Scientist,Manufacturing,NOS.BS.01,7,MATCH,high,2131.8,biomedical scientist,88.5,2,biomedical scientist advanced,89.2,,"A Biomedical Scientist is critical in the provision of primary and secondary healthcare services. He/she is responsible for the supervision of subordinates, coordination of laboratory work, validation of test methods and results, monitoring and training of staff and students on new methods and procedures, evaluation of quality assurance processes, safety in the medical laboratory, and conducting medical research to contribute to advancement in medical technology"
Food Scientist or Food Technologist,Manufacturing,NOS.FS.01,7,MATCH,high,2145.1.4,food technologist,90.7,1,food technologist,90.7,,"A Food Scientist is responsible for assessing the food’s nutritional content, testing food quality, discovering new food sources, researching new ways to make raw and processed foods safe and healthy for the market. He/she also manages, operates, and maintains laboratory equipment, trains staff in food production related aspects, and document profiling. A Food Scientist is also responsible for ensuring adherence to the laws and regulations governing food processing, labelling, quality, safety, storage, and distribution of food products"
Maintenance Technician,Manufacturing,NOS.MT.01,5,MATCH,high,2141.8,maintenance and repair engineer,88.7,1,maintenance and repair engineer,88.7,,"A Maintenance Technician is responsible for assembling, installing, and maintaining equipment in the organisation. He/she must be able to read, interpret, and follow instructions and operation manuals; troubleshoot equipment and schedule maintenance activities in the organisation in the form of preventive maintenance"
Metal Caster,Manufacturing,NOS.MC.01,3,MATCH,high,7211.1,foundry operative,88.0,3,casting mould maker,88.5,,"A metal caster is responsible for: • Making patterns and moulds or casts from different materials such as metal, wax, and sand. • Examining moulds to ensure they are clean, smooth and properly coated. • Assembling and embedding cores in the mould using appropriate tools and equipment. • Loading specified amounts of metal flux into furnaces or clay crucibles. • Reading temperature gauges and observing colour changes, adjusting furnace flames, torches or electrical heating units as necessary to melt metal to required specifications. • Operating hand-controlled mechanisms to pour and regulate the flow of the molten metal into moulds to produce castings or ingots. • Turning valves to circulate water through mould cooling system or spraying water on filled moulds to cool and solidify metal. • Transporting metal ingots to storage areas using forklifts"
Wood Processing Technologist,Manufacturing,NOS. WPT.01,6,MATCH,high,2149.11.2,wood technology engineer,89.9,2,wood production supervisor,90.8,,"A Wood Processing Technologist is a person responsible for planning and designing wood products to be produced, acquiring the raw materials, supervising workers, and servicing the woodworking machines. He/she also performs inspections on processed materials and finished wood products for quality"
Biochemical/Chemical/Process/Process Control,Manufacturing,NOS.CHE.01,7,MATCH,high,2145.1,chemical engineer,87.3,1,chemical engineer,87.3,,"Chemical Engineers design and troubleshoot processes for the production of chemicals, fuels, foods, pharmaceuticals, and biologicals, etc. Their main responsibility in manufacturing plants is to maximise productivity and product quality while minimising costs"
Electrical Engineer/ Electronics Engineer,Manufacturing,NOS.EEE.01,7,MATCH,high,2151.1,electrical engineer,89.7,1,electrical engineer,89.7,,"Electrical and Electronic Engineers design, install, and maintain electrical and electronic equipment and systems. These include but are not limited to electrical machines, inverters, communication equipment, control and automation systems etc"
Mechanical Engineer,Manufacturing,NOS.ME.01,7,MATCH,high,2144.1,mechanical engineer,90.4,1,mechanical engineer,90.4,,"A mechanical Engineer plans, analyses, develops, designs, manufactures/builds, installs, tests and maintains mechanical devices and systems. He/she is responsible for adherence to applicable industry regulations"
Production Manager,Manufacturing,NOS.PM.01,7,MATCH,high,1321.2.1,industrial production manager,87.6,1,industrial production manager,87.6,,"1. The individual on the job understands the product requirement, interprets the product design and develops product for manufacturing. The individual acts an interface between design and production department. 2. To ensure goods and services are produced safely, cost effectively and on time and that they meet the required quality standards 3. Should be able to conduct research in his/her field to monitor productivity rates and product standards and implement quality systems management. 4. Should be able to plan and draw up a Master production schedule. 5. Should be able to establish and run an effective maintenance schedule. 6. Should be able to collate and analyse data, putting together production reports for both factory managers and customers. 7. Should liaise with different departments, teams and stakeholders such as suppliers, managers, clients etc. 8. Should be able to review worker performance and identify training needs. 9. Supervise and motivate a team of workers 10. Ensure that production is be cost effective estimating costs, negotiating and agreeing budgets with both clients and managers, etc"
Quality Controller,Manufacturing,NOS.QC.01,6,MATCH,high,7543.9,product quality controller,92.1,1,product quality controller,92.1,,"Quality Controller in a manufacturing sector ensures: • That production outputs meet desired quality specifications. • The Assessment of all raw materials and inputs to meet product specifications. • Implementation of latest Quality Management Systems, as applicable"
Workshop Machines Operator,Manufacturing,NOS.WMO.01,4,NEW_LOCAL,N/A,,,,,lathe and turning machine operator,89.1,"Operates shaping, lathe, milling, grinding, and CNC machines. ESCO lathe and turning machine operator covers only one machine type.",Operating of Machinery/Equipment
Mine Data Entry Operator,Mining,NOS.MDEO.01,4,MATCH,high,4132.1,data entry clerk,87.6,2,mineral processing operator,87.7,,A Mine Data Entry Operator ensures end to end data processing and maintaining related process parameters
Mine Safety Officer,Mining,NOS.MSO.01,6,MATCH,high,3117.4,mine safety officer,93.0,1,mine safety officer,93.0,,A Mine Safety Officer monitors hazardous situations and is responsible for ensuring adherence to safety regulations
Process Engineer,Mining,NOS.PE.01,7,MATCH,high,2141.10,process engineer,88.8,3,mineral processing engineer,90.2,,The Process Engineer executes end to end technical activities of mineral/metal and petroleum extraction from its ore
Winding Engine Operator,Mining,NOS.WEO.01,4,NEW_LOCAL,N/A,,,,,winding machine operator,87.8,Wrong match. Mining winding engines hoist cages/skips in mine shafts. ESCO winding machine operator winds yarn/thread onto spools - completely different equipment.,A Winding Engine Operator ensures execution of activities related to the winding engine
Mining Blaster,Mining,NOS.MB.01,3,MATCH,high,7542.1,shotfirer,87.8,2,explosives engineer,88.5,,"A Mining Blaster, also known as Shot Firer, uses explosives to break or dislodge rocks, demolish structures and large earth masses"
Senior Chemist,Mining,NOS.SC.01,7,MATCH,high,2113.1.1,analytical chemist,88.2,1,analytical chemist,88.2,,
Fire Fighter,Transport,NOS.FF.01,3,MATCH,high,5411.1,firefighter,88.1,1,firefighter,88.1,,"A Fire Fighter is responsible for ensuring fire alarms, medical emergencies, hazardous materials, urban rescue, and other calls to protect life and property are attended to, and to participate in fire prevention and training, and the maintenance of fire stations and the firefighting equipment"
Customs Agent,Transport,NOS.CA.01,6,MATCH,high,3331.1,customs and excise officer,87.9,1,customs and excise officer,87.9,,A Customs Agent is responsible for ensuring compliance with customs laws and regulations for goods entering or leaving the country
Logistician,Transport,NOS.L.01,6,MATCH,high,1324.3,logistics and distribution manager,90.3,2,supply chain manager,91.2,,"A Logistician oversees and manages the entire supply chain process, including: supplier management, inventory management, procurement, transportation, warehousing, timely delivery, distribution, and optimisation of network"
Professional Driver,Transport,NOS.PD.01,3,NEW_LOCAL,N/A,,,,,patient transport services driver,85.1,"NOS role covers both cargo and passenger transport with general driving competency. All ESCO driver occupations are specialized (cargo, bus, taxi, etc). No generic professional driver exists in ESCO.","A Professional Driver is responsible for driving safely and competently, ensuring roadworthiness of the vehicle by conducting pre-drive checks, managing incidences, conducting or recommending vehicle maintenance, applying customer care skills, demonstrating defensive driving skills, ensuring fuel efficiency, and economic driving habits. He/she must follow traffic laws and correctly route themselves"
Safety Officer,Transport,NOS.SO.01,6,MATCH,high,2263.3,health and safety officer,89.7,1,health and safety officer,89.7,,"A Safety Officer is responsible for planning, implementing, and overseeing the employees’ safety in the workplace. His/her main duty is to ensure the company is in compliance with, and adheres to, all safety guidelines"
Transportant,Transport,NOS.T.01,7,NEW_LOCAL,N/A,,,,,transport planner,87.6,"The NOS occupation 'Transportant' is broader than the ESCO options, encompassing vehicle maintenance, staff management, and overall transport operations. ESCO options are more specific roles.","A Transportant ensures the smooth running of transport services by maintaining vehicles, as well as allocating of staff and vehicles to provide optimal services through planning, managing, administrating, and controlling resources"
Environment and Water Quality Officer,Water,NOS.EWQO.01,7,MATCH,high,2133.13,water quality analyst,88.7,1,water quality analyst,88.7,,"An Environment and Water Quality Officer undertakes environmental, social, and economic assessments, and develops standards to inspect water and wastewater treatment facilities. He/she also undertakes water and wastewater sampling tests, analysis, and reporting on their quality parameters, environmental surveillance, climate change adaptation, and mitigation interventions. They direct, monitor, and evaluate safety practices and procedures with respect to laboratory and field analytical work, to check if they meet health and hygiene standards. Coaching and mentoring subordinates, training of communities on environmental sustainability, water security and quality also forms part of their responsibilities"
Laboratory Technologist,Water,NOS.LT.01,6,MATCH,high,2133.13,water quality analyst,87.0,1,water quality analyst,87.0,,"A Laboratory Technologist collects and analyses water and wastewater samples to check for treatment efficiency, as well as compliance with applicable drinking water quality, wastewater quality, and environmental standards. He/she works within the field and laboratory setting—cleaning, maintaining, and packaging of apparatus, reagents and cleaning materials, general management of the laboratory, records inventory, preparation and submission of water and wastewater laboratory technical reports, and following procedures with respect to laboratory and field analytical work, while adhering to health and biosafety guidelines"
Pit Emptier,Water,NOS.PE.01,3,MATCH,high,7126.9,septic tank servicer,87.0,1,septic tank servicer,87.0,,"A Pit Emptier’s job is crucial for the safe management of on-site sanitation facilities, thereby maintaining public health and prevention of environmental pollution. A Pit Emptier collects faecal sludge/septage from on-site sanitation facilities and safely transports it to the storage/faecal sludge treatment facility. Pit Emptiers inspect and follow safety protocols in maintaining equipment, and they sometimes provide advice to clients on proper waste management practices. • Scheduling of emptying jobs; • Conducting assessment of on-site sanitation facilities; • Conducting marketing of emptying services; • Reporting on emptying operations"
Wastewater and Faecal Sludge Treatment Plant Plant,Water,NOS.WFSTPO.01,6,MATCH,high,3132.4,wastewater treatment operator,90.4,1,wastewater treatment operator,90.4,,"A Wastewater and Faecal Sludge Treatment Plant Operator is responsible for monitoring the operations of the treatment plant, ensuring all treatment units are functional and in good order. A Treatment Plant Operator is responsible for treatment and safe disposal of effluent in conformity with national regulations. They are also responsible for compliance to occupational and biosafety standards and guidelines within the plant"
Water and Sanitation Engineer,Water,NOS.WSE.01,7,MATCH,high,2142.1.11,water engineer,89.4,1,water engineer,89.4,,"A Water and Sanitation Engineer is a specialist in design, planning, establishing, expanding, constructing, operating, and maintaining water and sanitation facilities"
Water Treatment Plant Operator,Water,NOS.WTPO.01,6,MATCH,high,3132.7,water treatment systems operator,90.7,1,water treatment systems operator,90.7,,"A Water Treatment Plant Operator is responsible for monitoring operations of the treatment plant, ensuring all treatment units are functional and in good order. He/she is responsible for determining and ensuring correct dosages/applications of treatment chemicals, and is also responsible for enforcing safety within the plant. He/she ensures the water produced meets the national drinking water standards"
