nos_title,nos_sector,nos_code,zqf_level,nos_description,top_match_esco_code,top_match_esco_label,top_match_similarity,top_match_esco_description,candidate_2_label,candidate_2_sim,candidate_3_label,candidate_3_sim,candidate_4_label,candidate_4_sim,candidate_5_label,candidate_5_sim
Precision Agricultural Technologist,Agriculture,NOS. PAT.01,6,"A Precision Agricultural Technologist provides technical services of setting up, operating, repairing and maintaining precision agricultural machines, equipment, tools, sensors and decision-support systems for context-specific management of agricultural production operations and management processes thereby ensuring efficiency, profitability and environmental sustainability",7233.8.1,agricultural machinery technician,89.8,"Agricultural machinery technicians repair, overhaul and maintain agricultural equipment including tractors, tillage equipment, seeding equipment and harvesting equipment. They perform evaluations of the equipment, perform preventive maintenance activities and repair faults.",agricultural technician,88.8,land-based machinery technician,88.7,agricultural engineer,88.0,,
Architect,Construction,NOS.A.01,7,An Architect is responsible for the design of physical spaces and the management of the construction of such spaces,2161.1,architect,90.0,"Architects investigate, design, and oversee the construction and development of buildings, urban spaces, infrastructure projects, and social spaces. They design in accordance with the surroundings and regulations applicable in specific geographic areas, taking into account factors that include function, aesthetics, costs, and public health and safety. They are aware of social contexts and environmental factors, which include the relationships between people and buildings, and buildings and the environment. They engage in multidisciplinary projects aimed at developing the social fabric of a geographic area and advancing in social urbanism projects.",interior architect,87.2,software architect,86.2,enterprise architect,86.0,,
Civil Engineer,Construction,NOS.CE.01,7,"A Civil Engineer plans, designs and oversees construction and maintenance of building structures and infrastructure, such as roads, railways, airports, bridges, harbours, dams, irrigation projects, power plants, and water and sewerage systems, etc",2142.1,civil engineer,90.0,"Civil engineers design, plan, and develop technical and engineering specifications for infrastructure and construction projects. They apply engineering knowledge in a vast array of projects, from the construction of infrastructure for transportation, housing projects, and luxury buildings, to the construction of natural sites. They design plans that seek to optimise materials and integrate specifications and resource allocation within the time constraints.",civil engineering worker,87.3,construction engineer,87.2,civil engineering technician,86.1,,
Environmental Officer,Construction,NOS.EO.01,7,"An Environmental Officer plays a crucial role in the industry by assessing, monitoring, and managing the impact of industrial activities on the environment. The Environmental Officer is responsible for the development and implementation of environmental policies, ensuring compliance with environmental regulations, implementing sustainable practices, and managing environmental projects or programmes. The expertise of an Environmental Officer contributes to minimizing the organisation’s ecological footprint and promoting environmentally responsible practices. The Environmental Officer is further responsible for mitigation and remediation of risks, improving environmental performance, and supporting the organisation’s commitment to environmental stewardship",2422.12.5,environmental policy officer,89.7,"Environmental policy officers research, analyse, develop and implement policies related to the environment. They give expert advice to entities such as commercial organisations, government agencies and land developers. Environmental policy officers work on reducing the impact of industrial, commercial and agricultural activities on the environment.",environmental protection manager,89.3,environmental education officer,87.4,sustainability manager,87.1,,
General Bricklayer,Construction,NOS.GB.01,4,"The General bricklayer performs routine bricklaying works including brickwork, blockwork, laying paver blocks, plastering, cementitious waterproofing, rubble masonry and flooring works and should also be able to set out simple buildings",7112.1,bricklayer,90.9,"Bricklayers assemble brick walls and structures by skilfully laying the bricks in an established pattern, using a binding agent like cement to bond the bricks together. They then fill the joints with mortar or other suitable materials.",bricklaying supervisor,88.0,hand brick moulder,85.5,brick and tile caster,85.2,,
Heavy Duty Machine Operator,Construction,NOS.MO.01,4,"A Machine Operator drives, manoeuvres or controls heavy machinery used to construct roads, bridges, buildings, and other structures. Machine Operator takes care of all machine-specific functions such as configuring the equipment, loading, and operating the machines, and optimising the machine capability. A Machine Operator needs to ensure that the machine works at its full capacity, oversee its maintenance, and perform timely quality checks. In performing this task, a Machine Operator shall clean and maintain equipment, make basic repairs as necessary, report malfunctioning equipment to supervisors, move levers, push pedals, or turn valves to drive and manoeuvre equipment, and coordinate machine actions with crew members using hand or audio signals. A Machine Operator shall use the heavy-duty construction equipment to complete works as per task specifications",7233.1,construction equipment technician,88.6,"Construction equipment technicians inspect, maintain and repair heavy-duty vehicles used in construction, forestry and earthworks such as bulldozers, excavators and harvesters. They perform evaluations of the equipment, and ensure the safety and optimal efficiency of the machinery.",bulldozer operator,87.7,underground heavy equipment operator,87.4,excavator operator,87.3,,
Quantity Surveyor,Construction,NOS.QS.01,7,"A Quantity Surveyor is a graduate who has knowledge in the measurement of Civil Engineering structures, such as Buildings (residential, commercial, and specialised), Roads, Railways, Mechanical (Heating, Ventilation, and Air Condition), Electrical and Plumbing from drawings",2149.14,quantity surveyor,90.9,"Quantity surveyors have under their helm complete management of the cost involved in building and construction projects from the inception of the project until the delivery. They strive for an efficient use of the resources whilst keeping an eye on quality, quality standards, and client's requirements.",civil engineer,86.2,calculation engineer,85.3,construction engineer,85.2,,
Safety Specialist,Construction,NOS.SS.01,6,"A Safety Specialist is responsible for monitoring and assessing hazardous and unsafe situations, and developing measures to assure personnel safety. The Safety Specialist is also responsible for supporting the development and implementation of good safety practices. Further, the Safety Specialist is responsible for supporting the implementation of projects and operations in line with policies, common system standards, and international best practices. As part of his/her duty of care, the Safety Specialist should commit to ensuring that people do not fall sick or sustain injuries when carrying out operations. He/she must ensure a zero-tolerance approach to poor health and safety performance, and support development of health and safety training, and monitoring and compliance. The Safety Specialist also needs to act as Rescue/Emergency Operator",2149.10,health and safety engineer,87.0,"Health and safety engineers design objects and programs by combining engineering principles and health and safety requirements. They envision the protection and well-being of the people using designed objects or performing work under designed health and safety programs. They assess facilities and the risks that they might pose (e.g. contaminant materials, ergonomics, handling of dangerous substances, etc.) in order to design and improve health and safety measures.",health and safety officer,86.7,health safety and environmental manager,85.8,health and safety inspector,85.4,,
Draughts Person,Construction,NOS.DP.01,4,"The Draughts Person is responsible for preparation and editing of documentation of all types of drawings prepared for construction and installation works, showing all relevant plans, sections, elevations, specifications and details along with other requirements as applicable, based on the type of drawing",3118.3.2,architectural drafter,89.6,"Architectural drafters make drawings of the specifications and ideas provided by architects. They draw architectural drawings using computer-aided equipment and software, or using conventional methods like paper and pen.",drafter,88.3,civil drafter,88.0,mechanical engineering drafter,87.9,,
Electrician – Low Voltage,Construction,NOS.E,4,"The Electrician – LV is responsible for laying and terminating LV cables, installing and maintaining construction equipment at a construction site and carrying out electrical wiring works at residential, commercial and industrial buildings/premises",7411.1.1,building electrician,89.0,Building electricians install and maintain electricity cables and other electrical infrastructure in buildings. They make sure installed electrical equipment is isolated and presents no fire hazards. They understand existing situations and make improvements if called for.,electrician,88.1,industrial electrician,87.8,electrical mechanic,86.5,,
Geomatics Engineer,Construction,NOS.GE.01,7,"Make exact measurements and determine property boundaries. Provide data relevant to the shape, contour, gravitation, location, elevation, or dimension of land or land features on or near the earth's surface for engineering, mapmaking, mining, land evaluation, construction, and other purposes",2165.4,land surveyor,90.1,"Land surveyors determine, by means of specialised equipment, the distances and positions of points at the surface of sites for construction purposes. They use measurements of the specific aspects of construction sites, such as electricity, distance measurements, and metal structure volumes to create architectural drawings and develop construction projects.",surveying technician,87.4,cadastral technician,87.3,real estate surveyor,86.6,,
Metal Fabricator,Construction,NOS.MF.01,6,The Metal Fabricator is responsible for fabrication of steel assemblies and erection of final products,8219.8,metal products assembler,90.6,"Metal products assemblers fit and fasten metal materials according to strictly laid down procedures in order to produce various parts or final products using power tools, hand tools, and other machinery.",metal product quality control inspector,89.8,metal production supervisor,89.3,structural ironwork supervisor,88.8,,
Steel Fixer,Construction,NOS.SF.01,3,"The Steel Fixer is responsible for interpreting of drawing and bending schedules marking, cutting and bending of steel bars using hand or power tools, as well as fabricating, placing and fixing steel reinforcements at desired locations",7214.3,structural ironworker,87.6,"Structural ironworker in construction install iron elements into structures. They erect steel frameworks for buildings, bridges and other construction projects. They set metal rods, or rebar, to form reinforced concrete.",structural ironwork supervisor,85.9,sheet metal worker,85.2,metal products assembler,84.8,,
Bio-digester Plant Constructor,Energy,NOS.DBDC.01,,The BDC will be responsible for;  Following strictly the design and drawing as provided to them during construction of bio- digesters.  Ensuring that the quality standards of construction materials and appliances are properly complied with.  Selecting proper size of bio-digester based upon the availability of feedstock and customer needs.  Providing necessary information on benefits of bio-digester to the users.  Providing the users with minimum requirement of knowledge and skill to operate various components of bio-digester,8171.2,digester operator,86.4,"Digester operators, or cooks, cook wood chips with soda ash or acid to separate the wood pulp from unwanted constituents. They test the resulting solution.",biogas technician,85.1,installation engineer,84.9,construction quality manager,84.6,,
Coded Welder,Energy,NOS.CW.01,3,"A coded welder is a person who has been tested and certified competent to perform a specific welding process and is responsible for permanently joining/fusing equipment, structures and various types of metals together through the specified welding process",2144.1.23,welding engineer,88.8,"Welding engineers research and develop optimal effective welding techniques and design the corresponding, equally efficient equipment to aid in the welding process. They also conduct quality control and evaluate inspection procedures for welding activities. Welding engineers have advanced knowledge and critical understanding of welding technology application. They are able to manage high complex technical and professional activities or projects related to welding applications, while also taking responsibility for the decision making process.",welder,88.7,welding coordinator,87.3,welding inspector,86.9,,
Energy Auditor,Energy,NOS.EA.01,,"Energy Auditors undertake energy efficiency assessments of buildings and industrial facilities. Their audits cover building systems, occupancy, operations, maintenance and code compliance for the purpose of improving energy efficiency with cost benefit analysis and an action plan to reduce consumption",3112.1.5,energy assessor,90.5,Energy assessors determine the energy performance of buildings. They create an Energy Performance Certificate (EPC) which indicates what the estimated energy consumption of a property is. Furthermore they give advice on how to improve energy conservation.,energy analyst,88.7,energy consultant,87.9,energy conservation officer,87.5,,
LPG System Installer,Energy,NOS.LPGI.01,,"LPG System Installers are responsible for system designing, installing, operating, maintaining and testing and commissioning of LPG systems, and ensure that they meet the performance and reliability needs of customers by complying with all applicable codes, standards, procedures, specifications and safety requirements",7126.3,gas service technician,87.3,"Gas service technicians install and maintain gas service appliances and systems in facilities or buildings. They install the equipment in accordance with regulations, repair faults, and investigate leaks and other problems. They test the equipment and advise on the use and care of appliances and systems which use gas energy.",gas distribution engineer,86.6,installation engineer,86.4,gas processing plant operator,85.3,,
Non Destructive Test Specialist,Energy,NOS.NDTS.01,,"A Non-Destructive Test Specialist plans, analyses, develops and tests for conformity to industrial standards. He or She is responsible for adherence to applicable industrial standards and regulations",7543.5,non-destructive testing specialist,91.0,"Non-destructive testing specialists carry out testing of vehicles, vessels, other manufactured objects, and construction structures without having to damage them. They use special equipment such as X-ray, ultrasound, radiographics, or infrared instruments to perform testing activities and report based on the observed results.",quality engineer,87.5,test engineer,87.5,industrial quality manager,87.3,,
Solar PV Installer,Energy,NOS.SPVI.01,,"Solar PV Installers are responsible for checking, adapting, implementing, configuring, electrical trouble shooting, installing, inspecting, testing, and commissioning different components of photovoltaic systems, that meet the performance and reliability needs of customers by incorporating quality craftsmanship and complying with all applicable codes, standards, and safety requirements",7411.1.4,solar energy technician,89.3,"Solar energy technicians install and maintain systems that collect solar energy. They prepare the necessary fixtures, often on roofs, install solar panels, and plug them into an electronic system including an inverter to connect the solar energy systems to the electricity lines.",solar energy engineer,87.3,installation engineer,86.9,smart home installer,86.0,,
Biomedical Scientist,Manufacturing,NOS.BS.01,7,"A Biomedical Scientist is critical in the provision of primary and secondary healthcare services. He/she is responsible for the supervision of subordinates, coordination of laboratory work, validation of test methods and results, monitoring and training of staff and students on new methods and procedures, evaluation of quality assurance processes, safety in the medical laboratory, and conducting medical research to contribute to advancement in medical technology",2131.4.3,biomedical scientist advanced,89.2,Biomedical scientists advanced undertake advanced translational research in the biomedical science field and perform as educators of their professions or as other professionals.,biomedical scientist,88.5,specialist biomedical scientist,88.4,medical laboratory manager,87.6,,
Food Scientist or Food Technologist,Manufacturing,NOS.FS.01,7,"A Food Scientist is responsible for assessing the food’s nutritional content, testing food quality, discovering new food sources, researching new ways to make raw and processed foods safe and healthy for the market. He/she also manages, operates, and maintains laboratory equipment, trains staff in food production related aspects, and document profiling. A Food Scientist is also responsible for ensuring adherence to the laws and regulations governing food processing, labelling, quality, safety, storage, and distribution of food products",2145.1.4,food technologist,90.7,"Food technologists develop processes for manufacturing foodstuffs and related products based on chemical, physical, and biological principles and technology. They design and plan layouts or equipment, oversee staff, engage in controlling, and improve food technologies in food production processes.",food safety specialist,88.9,food biotechnologist,88.9,food technician,87.9,,
Maintenance Technician,Manufacturing,NOS.MT.01,5,"A Maintenance Technician is responsible for assembling, installing, and maintaining equipment in the organisation. He/she must be able to read, interpret, and follow instructions and operation manuals; troubleshoot equipment and schedule maintenance activities in the organisation in the form of preventive maintenance",2141.8,maintenance and repair engineer,88.7,"Maintenance and repair engineers focus on the optimization of equipment, procedures, machineries and infrastructure. They ensure their maximum availability at minimum costs.",industrial engineering technician,88.3,mechanical engineering technician,88.0,industrial machinery assembler,87.9,,
Metal Caster,Manufacturing,NOS.MC.01,3,"A metal caster is responsible for: • Making patterns and moulds or casts from different materials such as metal, wax, and sand. • Examining moulds to ensure they are clean, smooth and properly coated. • Assembling and embedding cores in the mould using appropriate tools and equipment. • Loading specified amounts of metal flux into furnaces or clay crucibles. • Reading temperature gauges and observing colour changes, adjusting furnace flames, torches or electrical heating units as necessary to melt metal to required specifications. • Operating hand-controlled mechanisms to pour and regulate the flow of the molten metal into moulds to produce castings or ingots. • Turning valves to circulate water through mould cooling system or spraying water on filled moulds to cool and solidify metal. • Transporting metal ingots to storage areas using forklifts",7222.1,casting mould maker,88.5,"Casting mould makers create metal, wooden or plastic models of the finished product to be cast. The patterns are then used to create moulds, eventually leading to the casting of the product of the same shape as the pattern.",foundry moulder,88.4,foundry operative,88.0,casting machine operator,87.1,,
Wood Processing Technologist,Manufacturing,NOS. WPT.01,6,"A Wood Processing Technologist is a person responsible for planning and designing wood products to be produced, acquiring the raw materials, supervising workers, and servicing the woodworking machines. He/she also performs inspections on processed materials and finished wood products for quality",3122.4.16,wood production supervisor,90.8,"Wood production supervisors monitor processes involved in the conversion of felled trees into usable lumber. They follow the production process and make quick decisions to resolve problems. They ensure that production targets, such as quantity and quality of products, timeliness and cost-effectiveness, can be achieved.",wood technology engineer,89.9,wood assembly supervisor,88.8,wood factory manager,88.4,,
Biochemical/Chemical/Process/Process Control,Manufacturing,NOS.CHE.01,7,"Chemical Engineers design and troubleshoot processes for the production of chemicals, fuels, foods, pharmaceuticals, and biologicals, etc. Their main responsibility in manufacturing plants is to maximise productivity and product quality while minimising costs",2145.1,chemical engineer,87.3,Chemical engineers design and develop large-scale chemical and physical production processes and are involved in the entire industrial process required for transforming raw materials into products.,process engineer,86.8,chemical processing plant controller,85.7,biochemical engineer,85.6,,
Electrical Engineer/ Electronics Engineer,Manufacturing,NOS.EEE.01,7,"Electrical and Electronic Engineers design, install, and maintain electrical and electronic equipment and systems. These include but are not limited to electrical machines, inverters, communication equipment, control and automation systems etc",2151.1,electrical engineer,89.7,"Electrical engineers design and develop electrical systems, electrical equipment, components, motors, and equipment with the feature of energy transmission. They engage in large scale projects such as the design and maintenance of power stations, and the distribution of power to smaller applications such as household appliances.",electronics engineer,88.9,electromechanical engineer,87.5,equipment engineer,87.4,,
Mechanical Engineer,Manufacturing,NOS.ME.01,7,"A mechanical Engineer plans, analyses, develops, designs, manufactures/builds, installs, tests and maintains mechanical devices and systems. He/she is responsible for adherence to applicable industry regulations",2144.1,mechanical engineer,90.4,"Mechanical engineers research, plan and design mechanical products and systems and supervise the fabrication, operation, application, installation and repair of systems and products. They research and analyse data.",manufacturing engineer,89.3,industrial engineer,87.9,design engineer,87.6,,
